id,payment_id,party,due_date,amount,status,created_at
118,PMT-10118,"Wright, James and Curry",2025-08-06,53013.65,Paid,2024-06-23T11:39:34
119,PMT-10119,"Johnson, Cohen and Clements",2025-09-20,163987.52,Pending,2024-12-21T14:42:19
120,PMT-10120,Bowen Inc,2025-07-01,38721.39,Paid,2023-03-30T18:09:32
121,PMT-10121,Alvarado-Drake,2023-11-10,143096.01,Overdue,2024-08-04T06:06:41
122,PMT-10122,"Nichols, Allen and Williams",2024-02-13,192678.72,Overdue,2023-01-05T20:21:01
123,PMT-10123,"Lopez, Cole and Vega",2024-07-20,83657.76,Overdue,2023-09-14T21:05:40
124,PMT-10124,"Ramirez, Taylor and King",2025-06-12,115702.00,Paid,2024-07-17T12:11:54
125,PMT-10125,Hart-Kirk,2025-03-13,164977.86,Pending,2023-05-23T10:02:15
126,PMT-10126,"Stevens, Forbes and Wilson",2024-04-07,23956.35,Paid,2024-04-25T18:51:37
127,PMT-10127,Ward LLC,2024-04-13,27607.92,Paid,2025-05-31T08:36:48
128,PMT-10128,Robertson-Smith,2025-06-01,97953.63,Paid,2025-05-21T11:37:48
129,PMT-10129,"Buckley, Johnson and Griffith",2025-02-17,13561.09,Paid,2023-05-23T03:17:33
130,PMT-10130,"Mcdonald, Rodriguez and Mills",2025-06-15,178808.88,Overdue,2025-08-16T18:35:31
131,PMT-10131,Gilbert LLC,2024-07-28,50291.18,Overdue,2024-05-08T13:52:29
132,PMT-10132,Massey Group,2024-03-21,104394.57,Overdue,2023-11-21T19:30:32
133,PMT-10133,Walker-Washington,2025-08-22,133303.26,Pending,2022-11-29T19:40:49
134,PMT-10134,"King, Avery and Edwards",2024-03-08,194250.71,Pending,2024-04-27T16:35:49
135,PMT-10135,Fowler and Sons,2024-12-13,43330.88,Pending,2024-01-29T02:30:36
136,PMT-10136,"Moon, Howe and Clay",2025-04-17,13675.27,Pending,2025-10-24T21:57:43
137,PMT-10137,"Wong, Gross and Chapman",2025-04-18,95291.00,Paid,2025-10-19T22:17:52
138,PMT-10138,Le-Hill,2024-12-21,193919.00,Pending,2023-06-27T02:32:11
139,PMT-10139,Kelly-Cooper,2023-12-20,36319.40,Overdue,2024-11-25T06:29:44
140,PMT-10140,Trujillo PLC,2024-11-11,113567.60,Paid,2025-06-04T13:18:45
141,PMT-10141,Spears PLC,2025-07-23,13117.36,Pending,2023-04-16T13:47:05
142,PMT-10142,"Jackson, Lopez and Wood",2024-02-18,44411.83,Overdue,2025-08-25T08:15:07
143,PMT-10143,Gaines-Butler,2023-12-29,161983.79,Pending,2025-04-13T23:54:04
144,PMT-10144,Conrad-George,2024-07-22,10366.88,Overdue,2025-04-11T15:50:15
145,PMT-10145,Hart-Cowan,2025-01-02,41934.31,Paid,2023-12-28T01:55:25
146,PMT-10146,"Smith, Hunter and Martin",2024-10-18,93425.19,Paid,2022-12-22T19:10:33
147,PMT-10147,Bailey-Franco,2024-11-25,21107.96,Paid,2023-12-06T02:52:56
148,PMT-10148,"Winters, Weaver and Tate",2025-06-17,122467.91,Paid,2024-06-28T10:08:52
149,PMT-10149,Strickland and Sons,2023-12-05,177819.87,Pending,2024-01-29T02:58:46
150,PMT-10150,Cook-Sanchez,2025-03-25,188269.47,Overdue,2025-05-13T13:50:49
151,PMT-10151,"Johnson, Mccarthy and Castro",2024-09-25,62281.95,Pending,2023-05-28T04:07:32
152,PMT-10152,Jones-Poole,2025-09-11,10353.23,Paid,2024-11-17T17:38:03
153,PMT-10153,"Hansen, Foster and Trevino",2024-05-06,136879.08,Pending,2025-02-08T18:57:20
154,PMT-10154,Burns LLC,2025-05-04,133974.93,Pending,2025-08-30T01:13:32
155,PMT-10155,Anderson-Pearson,2024-10-19,121315.31,Overdue,2024-09-16T17:11:40
156,PMT-10156,"Harris, Simmons and King",2024-09-28,5379.53,Paid,2025-01-02T13:51:13
157,PMT-10157,"Hernandez, Robinson and Yoder",2023-11-19,82406.74,Overdue,2024-01-11T21:36:54
158,PMT-10158,Ramirez and Sons,2025-03-10,3727.09,Overdue,2023-12-23T20:18:20
159,PMT-10159,"Daniels, Perez and Bailey",2024-12-22,11777.26,Paid,2023-05-07T07:31:52
160,PMT-10160,Gilbert-Collins,2024-06-05,34580.85,Overdue,2025-04-20T13:55:38
161,PMT-10161,Lopez-Bowers,2024-06-26,131048.68,Pending,2025-05-25T00:10:11
162,PMT-10162,Tate-Ortiz,2024-11-30,17096.59,Paid,2024-03-06T15:55:41
163,PMT-10163,Jones LLC,2025-06-14,188754.60,Paid,2023-02-27T22:18:36
164,PMT-10164,Scott Inc,2025-03-15,104498.89,Pending,2025-07-22T11:33:33
165,PMT-10165,Wilson-Sweeney,2024-09-16,69446.98,Paid,2024-08-24T00:12:22
166,PMT-10166,Randolph-Ortiz,2025-05-13,119249.87,Overdue,2023-01-02T15:36:08
167,PMT-10167,Richardson-Rodriguez,2024-10-01,139941.26,Overdue,2023-07-27T10:12:35
168,PMT-10168,"Carey, Murray and Mitchell",2024-10-21,82717.08,Paid,2024-05-24T16:24:24
169,PMT-10169,"Morris, Mejia and Hill",2024-03-01,26298.35,Paid,2024-04-25T16:14:16
170,PMT-10170,Simmons and Sons,2024-03-31,15095.74,Pending,2023-09-04T01:05:10
171,PMT-10171,Taylor-Anthony,2024-03-13,162142.00,Overdue,2023-09-05T13:17:25
172,PMT-10172,"Williams, Webb and Lozano",2025-05-07,103228.55,Pending,2024-05-11T13:49:51
173,PMT-10173,"Coffey, Scott and Thompson",2024-04-11,189216.32,Paid,2023-11-07T20:06:04
174,PMT-10174,Becker PLC,2025-10-06,92059.60,Pending,2022-11-18T14:14:41
175,PMT-10175,Price Group,2025-02-03,157916.18,Paid,2024-06-07T14:57:09
176,PMT-10176,"Watson, Contreras and Green",2024-11-17,39556.20,Paid,2025-04-21T13:37:42
177,PMT-10177,Wong Ltd,2025-09-07,2771.85,Overdue,2023-06-28T15:52:00
178,PMT-10178,Martinez-Zamora,2024-08-15,105164.45,Paid,2024-06-11T22:16:53
179,PMT-10179,Anderson LLC,2025-05-19,158877.26,Paid,2025-08-28T07:54:31
180,PMT-10180,Landry and Sons,2024-03-25,177200.17,Pending,2024-04-13T05:53:54
181,PMT-10181,"Hill, Maxwell and Jones",2024-03-31,187793.02,Pending,2023-03-08T08:02:25
182,PMT-10182,Bowen Ltd,2024-12-24,67257.32,Paid,2024-01-22T11:18:01
183,PMT-10183,Freeman-Taylor,2024-09-18,190949.63,Overdue,2023-05-16T06:08:34
184,PMT-10184,Jones-Williams,2025-07-04,55949.57,Paid,2025-08-21T05:33:51
185,PMT-10185,"Little, Fitzgerald and Bennett",2024-01-31,186552.36,Paid,2023-05-18T03:33:25
186,PMT-10186,Anderson Ltd,2025-03-23,88751.49,Overdue,2023-01-19T19:56:10
187,PMT-10187,"Sanders, Butler and Lewis",2024-04-17,109260.99,Pending,2022-12-03T10:26:55
188,PMT-10188,"Nelson, Lane and Phillips",2025-03-19,129932.19,Overdue,2025-02-23T20:02:54
189,PMT-10189,"Bryant, Preston and Snyder",2024-05-26,140139.56,Pending,2024-10-17T03:42:06
190,PMT-10190,"Henry, Leonard and Hood",2025-02-25,64921.89,Overdue,2024-08-07T14:01:42
191,PMT-10191,Perez Ltd,2024-02-03,108251.13,Paid,2024-07-27T05:52:36
192,PMT-10192,"Collier, Kelley and Sanchez",2025-06-15,117548.44,Overdue,2024-09-09T01:03:55
193,PMT-10193,Cunningham-Gomez,2024-07-30,150616.32,Pending,2024-06-25T02:49:45
194,PMT-10194,"Torres, Fuller and West",2024-02-13,67064.89,Pending,2023-08-22T22:29:08
195,PMT-10195,"Fernandez, Hardin and Norris",2024-05-07,123730.23,Pending,2024-10-23T06:44:15
196,PMT-10196,Estrada Inc,2025-09-30,35211.58,Paid,2025-03-14T20:42:26
197,PMT-10197,Morris-Guerra,2024-08-21,78177.49,Overdue,2023-09-03T17:14:47
198,PMT-10198,"Campbell, Edwards and Macias",2025-01-17,58267.71,Pending,2025-01-28T13:50:38
199,PMT-10199,"Bennett, Meyer and Frye",2024-10-19,25604.65,Paid,2024-06-14T11:45:51
200,PMT-10200,"Griffin, Freeman and Mooney",2025-09-14,100350.97,Pending,2024-07-25T13:56:43
201,PMT-10201,Cox-Ellis,2024-10-04,20894.71,Paid,2025-08-31T03:42:52
202,PMT-10202,Cook-Schwartz,2024-01-23,57620.76,Overdue,2024-03-27T12:08:30
203,PMT-10203,Weiss PLC,2025-05-24,26884.00,Pending,2024-09-06T05:06:42
204,PMT-10204,Lewis LLC,2025-03-11,158650.12,Paid,2023-11-09T13:34:29
205,PMT-10205,"Arnold, Sanchez and Krueger",2023-11-29,130267.17,Pending,2025-09-17T12:11:16
206,PMT-10206,Mitchell-Larson,2024-09-03,153091.28,Pending,2025-07-16T12:15:42
207,PMT-10207,"Osborne, Roberts and Freeman",2025-10-13,182662.64,Overdue,2024-08-28T09:18:22
208,PMT-10208,Guzman Group,2024-09-05,190886.98,Pending,2025-10-31T23:43:12
209,PMT-10209,Everett-Bond,2024-03-20,181334.85,Paid,2024-04-22T12:10:06
210,PMT-10210,Lee Ltd,2024-12-22,21226.99,Pending,2024-07-06T00:58:14
211,PMT-10211,"Perry, Ray and Miller",2025-04-06,52172.85,Paid,2023-03-08T14:08:53
212,PMT-10212,Malone-Hawkins,2024-02-26,185814.80,Overdue,2023-08-06T08:52:38
213,PMT-10213,"Bush, Rowe and Rose",2024-01-15,173966.46,Overdue,2025-01-03T04:27:10
214,PMT-10214,Coleman and Sons,2024-06-01,180852.28,Paid,2023-09-07T11:13:56
215,PMT-10215,Lee-Allen,2024-09-17,85160.46,Overdue,2024-03-20T17:08:30
216,PMT-10216,"Chapman, Clayton and Scott",2024-10-08,150436.33,Pending,2023-10-18T09:48:30
217,PMT-10217,Ramos-Riley,2024-12-07,89837.51,Paid,2025-10-24T17:34:00
218,PMT-10218,Russo Inc,2025-10-29,88335.13,Overdue,2022-12-17T14:44:53
219,PMT-10219,Ayers Ltd,2024-07-19,111957.65,Overdue,2025-08-01T01:50:35
220,PMT-10220,"Adams, Holmes and Torres",2024-11-14,83904.65,Overdue,2024-10-14T13:37:33
221,PMT-10221,"Bullock, Lopez and Blake",2024-09-05,147160.45,Overdue,2025-04-15T23:41:47
222,PMT-10222,Cruz LLC,2024-12-15,179676.32,Pending,2024-10-15T17:54:49
223,PMT-10223,"Spencer, Sanders and Jones",2024-12-19,106589.03,Pending,2025-09-15T19:20:53
224,PMT-10224,"Klein, Pennington and Cooper",2024-06-16,54161.20,Paid,2024-06-16T14:10:21
225,PMT-10225,Thornton PLC,2024-04-07,191548.07,Paid,2023-07-27T23:14:53
226,PMT-10226,Stone-Caldwell,2025-07-25,10939.19,Overdue,2025-01-26T03:34:01
227,PMT-10227,Wells-Randall,2023-11-27,162213.05,Pending,2024-11-30T18:39:51
228,PMT-10228,"Welch, Dean and Cisneros",2025-06-22,91556.89,Paid,2025-08-28T07:35:31
229,PMT-10229,"Beck, Wallace and Leach",2024-06-19,195667.85,Pending,2024-05-30T15:21:11
230,PMT-10230,"Harrison, Phillips and Wagner",2024-05-10,189924.51,Overdue,2023-11-09T15:06:58
231,PMT-10231,Sawyer-Frank,2024-03-03,89530.90,Paid,2024-12-24T03:35:16
232,PMT-10232,Smith-Smith,2023-12-16,130630.69,Pending,2024-03-23T13:08:51
233,PMT-10233,"Wyatt, Hill and Roberts",2024-05-25,107604.25,Pending,2023-04-27T01:28:12
234,PMT-10234,"Elliott, Miller and Stephens",2024-03-16,43340.93,Pending,2023-09-22T16:09:04
235,PMT-10235,"Bridges, Williams and Fisher",2024-01-13,10495.93,Paid,2025-09-30T17:57:43
236,PMT-10236,"Robinson, Walker and Humphrey",2025-01-20,55762.36,Paid,2024-09-11T20:52:50
237,PMT-10237,Fitzpatrick Inc,2024-08-03,175765.34,Paid,2023-08-25T13:47:34
238,PMT-10238,Harris-Monroe,2025-07-09,86243.40,Pending,2025-05-18T08:25:29
239,PMT-10239,"Nelson, Moore and Thomas",2024-01-25,71287.69,Overdue,2022-11-16T05:17:26
240,PMT-10240,Goodman-Chavez,2025-03-05,119535.27,Paid,2023-12-16T23:51:01
241,PMT-10241,Jackson Ltd,2024-09-10,185261.91,Pending,2024-10-09T14:30:46
242,PMT-10242,Harrell Ltd,2023-11-26,196435.68,Pending,2024-01-27T18:52:25
243,PMT-10243,Smith and Sons,2025-03-25,109325.43,Pending,2025-04-12T22:28:15
244,PMT-10244,Novak-Valdez,2024-10-09,88090.37,Pending,2025-01-29T15:59:48
245,PMT-10245,Hansen-Chavez,2025-07-11,7874.72,Overdue,2023-08-31T23:27:49
246,PMT-10246,Adams Ltd,2025-08-27,117844.32,Pending,2024-10-12T02:39:57
247,PMT-10247,"Freeman, Johnson and Bowen",2025-01-12,68925.22,Overdue,2024-12-25T19:55:05
248,PMT-10248,Gilbert PLC,2024-04-20,167603.80,Pending,2025-08-28T22:59:02
249,PMT-10249,Newton-Kaiser,2025-01-12,78794.57,Overdue,2023-05-29T16:05:13
250,PMT-10250,Barrett PLC,2025-08-25,35703.28,Pending,2024-09-15T13:24:19
251,PMT-10251,Smith Group,2024-08-27,179989.01,Overdue,2023-12-05T22:45:17
252,PMT-10252,Carter-Chan,2023-11-09,27929.56,Paid,2025-07-24T09:24:28
253,PMT-10253,Sanchez LLC,2025-05-11,166739.20,Paid,2024-09-21T04:38:37
254,PMT-10254,Bryant and Sons,2024-10-18,133652.70,Overdue,2023-12-14T16:25:36
255,PMT-10255,Hill-Carson,2024-03-20,31823.91,Paid,2023-01-02T19:53:32
256,PMT-10256,Clark Inc,2025-02-11,192780.71,Pending,2023-11-27T06:29:37
257,PMT-10257,Jenkins-Schmidt,2024-07-29,23579.61,Pending,2023-01-29T08:05:01
258,PMT-10258,Thompson PLC,2023-11-30,77890.65,Pending,2023-10-01T16:33:36
259,PMT-10259,Carson LLC,2024-06-18,198045.17,Paid,2025-06-24T06:22:53
260,PMT-10260,Hamilton and Sons,2025-06-13,30876.76,Paid,2024-03-16T10:47:59
261,PMT-10261,Alvarado-Bryan,2024-10-02,991.84,Overdue,2022-11-12T11:09:55
262,PMT-10262,Lopez PLC,2025-08-05,156090.09,Pending,2023-10-31T15:30:17
263,PMT-10263,Terry-Krueger,2024-09-14,131953.15,Overdue,2025-08-18T13:00:59
264,PMT-10264,Green LLC,2023-12-13,69798.30,Overdue,2023-01-17T19:02:18
265,PMT-10265,Richard Inc,2024-05-04,23045.48,Paid,2024-05-30T07:00:34
266,PMT-10266,Morgan Ltd,2025-02-19,28389.46,Pending,2023-05-12T13:43:09
267,PMT-10267,Matthews and Sons,2024-08-27,36342.11,Pending,2022-11-09T23:07:56
268,PMT-10268,"Jones, Greer and Yates",2024-03-01,76143.88,Paid,2024-06-20T19:39:41
269,PMT-10269,Wells Ltd,2025-04-14,116075.16,Overdue,2022-12-04T01:30:11
270,PMT-10270,Ross Ltd,2025-06-13,170817.82,Pending,2024-10-25T21:36:28
271,PMT-10271,Holmes and Sons,2024-02-09,183376.34,Overdue,2024-05-25T06:11:58
272,PMT-10272,"Weber, Johnson and Ward",2024-02-22,42587.22,Overdue,2025-03-14T03:34:45
273,PMT-10273,Williams-Cuevas,2024-07-17,121157.67,Overdue,2025-07-11T21:39:46
274,PMT-10274,"Mitchell, Mitchell and Lopez",2024-05-10,190747.13,Paid,2023-02-27T19:14:30
275,PMT-10275,Riggs-Graham,2024-05-10,40452.88,Pending,2025-07-14T15:43:16
276,PMT-10276,Turner-Buchanan,2024-02-03,14653.50,Paid,2023-04-20T19:55:22
277,PMT-10277,"Robbins, Allen and Peterson",2023-11-16,164366.43,Pending,2023-06-28T02:43:34
278,PMT-10278,Lawrence Ltd,2025-03-05,67688.79,Paid,2023-08-04T17:46:27
279,PMT-10279,Ward Group,2023-11-14,25019.47,Overdue,2023-08-31T16:23:54
280,PMT-10280,Rowe-Shaw,2024-03-04,64649.00,Overdue,2024-05-27T01:47:15
281,PMT-10281,Armstrong-Dawson,2025-01-13,187243.51,Pending,2025-02-25T12:46:41
282,PMT-10282,Walker-Hanson,2025-09-01,123314.16,Overdue,2023-10-25T00:18:24
283,PMT-10283,Curry Group,2025-06-09,120420.66,Pending,2023-04-25T16:54:38
