id,name,category,purchase_date,value,depreciation_rate,status,created_at
156,Stop Asset,Vehicles,2022-05-27,60157.76,10.0,Active,2023-11-11T12:00:57
157,Explain Asset,Office Equipment,2016-04-07,23347.99,5.0,Active,2017-12-13T07:57:34
158,Somebody Asset,Vehicles,2021-11-28,14008.85,5.0,Active,2016-06-02T19:57:37
159,Executive Asset,Tools,2022-10-18,10813.98,20.0,Active,2024-11-13T16:27:26
160,Travel Asset,Tools,2017-07-12,74440.68,10.0,Disposed,2025-05-12T21:12:31
161,Learn Asset,Tools,2021-04-22,74646.51,20.0,Active,2018-02-11T02:45:22
162,Newspaper Asset,Tools,2023-03-03,58473.90,20.0,Active,2024-02-04T14:50:40
163,President Asset,Furniture,2017-07-28,19615.22,10.0,Disposed,2021-12-05T03:17:43
164,Degree Asset,Vehicles,2017-10-24,73183.03,10.0,Disposed,2024-01-08T23:16:05
165,Field Asset,IT Equipment,2025-06-28,72148.88,5.0,Active,2019-06-28T16:19:02
166,Home Asset,Vehicles,2023-09-28,13658.80,30.0,Retired,2020-01-16T10:19:03
167,Month Asset,Vehicles,2018-04-29,9638.31,15.0,Active,2023-02-11T14:19:44
168,Six Asset,IT Equipment,2022-04-16,31165.84,10.0,Active,2017-01-01T08:38:11
169,Vote Asset,Office Equipment,2018-08-06,7552.05,15.0,Disposed,2018-08-15T03:05:59
170,Talk Asset,Tools,2021-06-21,32438.92,5.0,Retired,2016-11-23T17:19:02
171,Act Asset,Office Equipment,2021-12-09,64018.14,25.0,Disposed,2022-07-11T15:24:39
172,Total Asset,Tools,2024-06-09,40323.45,10.0,Retired,2018-01-06T08:18:17
173,Group Asset,Furniture,2019-06-22,55279.74,25.0,Active,2022-08-25T01:08:27
174,Shoulder Asset,Vehicles,2018-02-05,47372.94,30.0,Active,2025-01-11T09:28:35
175,Tv Asset,Furniture,2023-01-03,32115.35,30.0,Disposed,2022-06-17T09:42:06
176,Relate Asset,Tools,2021-01-24,1787.18,15.0,Retired,2025-10-10T01:58:43
177,Identify Asset,IT Equipment,2017-07-04,53809.62,25.0,Active,2020-06-21T16:24:50
178,Could Asset,IT Equipment,2024-01-02,66981.68,10.0,Retired,2024-06-16T09:39:47
179,Design Asset,Tools,2019-06-09,10636.75,25.0,Active,2022-03-28T10:13:21
180,Gas Asset,Tools,2023-07-11,39310.90,30.0,Retired,2019-01-28T12:12:54
181,Little Asset,Vehicles,2019-08-04,46156.70,10.0,Disposed,2019-11-15T22:03:39
182,Appear Asset,Furniture,2019-11-26,23201.91,10.0,Retired,2021-12-14T20:16:39
183,Structure Asset,Office Equipment,2022-05-14,4235.20,30.0,Active,2024-08-19T03:29:04
184,Just Asset,Furniture,2025-01-27,43417.06,25.0,Active,2020-01-24T16:32:24
185,Health Asset,Tools,2025-10-23,27566.83,15.0,Active,2025-02-17T21:35:32
186,Prepare Asset,Vehicles,2023-03-21,51877.56,20.0,Retired,2016-11-25T07:15:33
187,Type Asset,Tools,2021-11-10,77147.10,10.0,Active,2020-06-12T16:30:03
188,Response Asset,Vehicles,2018-06-12,79037.58,25.0,Active,2025-06-13T15:36:04
189,Pick Asset,Tools,2015-12-01,71152.21,10.0,Retired,2020-10-09T07:03:13
190,Police Asset,Tools,2024-04-03,4006.96,30.0,Retired,2016-08-21T18:45:33
191,By Asset,Office Equipment,2019-03-10,27003.67,10.0,Retired,2019-08-21T11:57:02
192,Anything Asset,Tools,2019-11-22,59377.28,15.0,Active,2023-12-04T10:26:23
193,She Asset,Vehicles,2024-06-14,67169.65,10.0,Active,2019-07-30T09:06:05
194,City Asset,Furniture,2022-04-11,30522.82,5.0,Retired,2024-01-21T10:29:59
195,Century Asset,Vehicles,2021-04-30,66878.13,10.0,Active,2020-03-28T11:12:12
196,Up Asset,IT Equipment,2024-01-02,75285.55,30.0,Disposed,2022-10-15T16:24:48
197,Hand Asset,IT Equipment,2018-07-19,47805.26,20.0,Active,2019-11-28T14:15:13
198,Against Asset,Vehicles,2020-07-17,77887.34,30.0,Retired,2016-10-04T15:58:53
199,Soldier Asset,Tools,2017-06-16,23966.53,10.0,Active,2024-05-10T16:04:50
200,Either Asset,Office Equipment,2022-11-28,28482.73,10.0,Retired,2025-09-21T14:44:13
201,Ball Asset,Vehicles,2020-07-01,52501.07,5.0,Retired,2016-07-18T08:11:05
202,Shoulder Asset,Vehicles,2020-05-04,33114.66,20.0,Active,2021-07-26T01:26:46
203,Authority Asset,Tools,2020-11-27,51889.93,25.0,Disposed,2022-02-15T23:09:43
204,Reason Asset,IT Equipment,2024-07-21,51616.87,20.0,Disposed,2016-12-15T08:11:32
205,Start Asset,IT Equipment,2021-11-12,19929.05,30.0,Disposed,2022-11-07T14:21:58
206,Care Asset,Tools,2017-01-24,61632.24,30.0,Retired,2022-11-20T01:09:13
207,Our Asset,Vehicles,2021-08-18,52829.42,30.0,Disposed,2018-11-18T22:30:46
208,Late Asset,Office Equipment,2018-01-14,23264.94,5.0,Active,2024-04-10T17:33:46
209,Arrive Asset,Vehicles,2016-08-25,65342.91,5.0,Disposed,2017-10-07T18:42:05
210,Within Asset,Vehicles,2015-11-25,70224.31,20.0,Retired,2023-07-31T01:13:19
211,Deal Asset,Tools,2022-12-20,78928.33,20.0,Disposed,2019-04-16T08:12:26
212,System Asset,Office Equipment,2018-02-03,8250.83,20.0,Disposed,2016-09-22T18:22:12
213,Argue Asset,IT Equipment,2019-11-30,67529.24,20.0,Active,2024-04-28T03:34:36
214,Ever Asset,Vehicles,2022-05-28,38659.88,30.0,Active,2017-01-21T04:40:17
215,Reduce Asset,Vehicles,2021-11-18,41579.00,10.0,Active,2022-12-23T03:31:43
216,Eight Asset,IT Equipment,2018-12-14,727.57,5.0,Active,2024-07-24T21:21:35
217,Institution Asset,Tools,2021-05-29,997.52,5.0,Active,2018-04-30T11:01:07
218,Design Asset,IT Equipment,2019-07-29,44752.34,5.0,Disposed,2016-03-12T21:05:53
219,One Asset,Vehicles,2017-03-29,65498.98,10.0,Active,2021-03-07T16:18:47
220,Position Asset,IT Equipment,2025-06-18,15824.19,25.0,Disposed,2019-01-23T09:34:31
221,Administration Asset,Furniture,2020-01-05,40959.57,15.0,Active,2020-12-19T20:27:51
222,Grow Asset,Office Equipment,2024-09-08,8452.87,25.0,Disposed,2024-03-30T18:03:00
223,Wall Asset,Vehicles,2022-04-03,34065.26,15.0,Active,2018-12-08T09:48:46
224,Choice Asset,IT Equipment,2018-07-03,69829.58,20.0,Active,2018-03-10T17:52:13
225,Pass Asset,Office Equipment,2023-05-08,69229.20,25.0,Retired,2021-06-15T00:42:25
226,Attorney Asset,Office Equipment,2020-05-22,29495.53,10.0,Disposed,2019-01-07T09:31:50
227,Hold Asset,Furniture,2025-08-07,3998.60,20.0,Disposed,2018-05-31T20:03:07
228,System Asset,IT Equipment,2022-02-11,25419.95,15.0,Active,2021-02-17T09:18:57
229,System Asset,Vehicles,2017-07-31,73614.70,30.0,Active,2024-02-10T13:12:40
230,Air Asset,Office Equipment,2019-05-23,43947.09,10.0,Active,2024-10-08T17:25:48
231,Yet Asset,Tools,2018-11-15,18181.77,5.0,Disposed,2017-02-25T02:43:22
232,Mother Asset,Office Equipment,2024-05-24,74822.65,20.0,Retired,2024-08-13T16:49:17
233,Such Asset,Office Equipment,2018-02-04,20395.80,25.0,Retired,2023-08-01T05:06:54
234,Mrs Asset,Vehicles,2021-08-26,14566.48,10.0,Retired,2016-04-27T16:28:50
235,Into Asset,Furniture,2021-08-12,32427.32,15.0,Retired,2021-11-16T04:36:12
236,White Asset,Vehicles,2022-10-22,47942.62,25.0,Retired,2015-12-16T08:22:01
237,Son Asset,Vehicles,2018-01-29,14740.08,5.0,Disposed,2023-05-06T00:35:46
238,Key Asset,IT Equipment,2022-06-12,1213.15,30.0,Retired,2021-04-21T19:46:45
239,Get Asset,Vehicles,2023-09-17,62578.62,5.0,Active,2023-07-31T03:52:43
240,Debate Asset,IT Equipment,2021-01-21,34739.44,5.0,Disposed,2021-08-02T03:34:42
241,Peace Asset,Furniture,2021-01-18,58200.60,30.0,Retired,2025-05-10T10:03:44
242,Power Asset,Furniture,2017-09-26,51967.53,15.0,Disposed,2017-11-03T02:18:02
243,Gas Asset,Vehicles,2022-09-17,930.54,15.0,Active,2018-06-20T20:33:05
244,Become Asset,Tools,2016-08-10,17269.92,15.0,Active,2017-01-15T18:45:15
245,Share Asset,Tools,2017-01-28,56441.90,5.0,Retired,2016-09-10T22:48:04
246,After Asset,Office Equipment,2022-02-13,67258.93,10.0,Active,2023-05-03T13:46:40
247,Memory Asset,Office Equipment,2021-05-28,40013.96,5.0,Retired,2022-09-18T00:00:34
248,Air Asset,IT Equipment,2020-01-05,76593.77,5.0,Active,2015-11-25T20:07:50
249,Beautiful Asset,Office Equipment,2025-05-17,76287.45,30.0,Disposed,2025-01-12T19:10:13
250,Next Asset,Tools,2020-12-13,9033.07,5.0,Disposed,2025-04-28T14:49:48
251,Safe Asset,Office Equipment,2025-02-10,35355.95,10.0,Disposed,2020-10-26T18:11:42
252,Treat Asset,Tools,2018-05-14,795.30,10.0,Retired,2015-12-21T08:20:01
253,Air Asset,Tools,2024-11-19,72796.93,30.0,Disposed,2017-06-10T09:37:30
254,Attack Asset,Tools,2017-01-15,45564.41,30.0,Retired,2022-09-06T09:33:36
255,Student Asset,Office Equipment,2020-09-14,65934.92,10.0,Disposed,2020-12-14T17:25:12
256,Available Asset,Furniture,2016-04-29,30982.59,15.0,Disposed,2021-11-03T21:18:27
257,Write Asset,IT Equipment,2025-08-21,41769.47,5.0,Retired,2025-09-17T05:14:48
258,Teacher Asset,Vehicles,2023-04-07,57937.12,10.0,Retired,2018-05-21T16:47:39
259,Building Asset,IT Equipment,2018-07-09,64690.87,10.0,Retired,2021-07-10T00:20:36
260,Themselves Asset,Vehicles,2023-08-24,20867.48,30.0,Retired,2023-05-05T19:41:02
261,Boy Asset,IT Equipment,2017-06-23,46040.64,20.0,Disposed,2020-09-30T11:45:11
262,Down Asset,Vehicles,2017-05-07,56207.84,25.0,Retired,2024-09-07T00:48:59
263,Challenge Asset,Tools,2016-10-20,18359.81,25.0,Retired,2024-08-13T08:58:38
264,Part Asset,Office Equipment,2024-05-26,21344.54,30.0,Active,2019-08-30T11:56:25
265,Center Asset,Office Equipment,2016-04-11,58282.29,15.0,Disposed,2025-08-20T06:37:56
266,Plant Asset,Furniture,2021-07-09,18949.18,10.0,Active,2023-03-10T17:02:19
267,Reflect Asset,Tools,2021-06-27,14612.12,5.0,Active,2016-11-16T10:53:22
268,Education Asset,Furniture,2016-07-25,62071.47,30.0,Active,2025-09-25T08:25:04
269,Have Asset,Furniture,2024-03-01,44316.83,20.0,Active,2025-05-10T18:39:07
270,Tend Asset,IT Equipment,2020-02-04,44679.82,15.0,Retired,2019-12-20T01:20:04
271,Realize Asset,Furniture,2022-10-30,33529.16,5.0,Disposed,2023-05-19T01:45:14
272,System Asset,Furniture,2025-04-19,77550.36,25.0,Disposed,2021-04-21T17:48:01
273,Card Asset,Tools,2020-02-04,77647.04,25.0,Retired,2020-12-25T04:54:00
274,Control Asset,Vehicles,2022-10-05,41673.41,20.0,Retired,2023-08-24T16:11:10
275,Strategy Asset,Vehicles,2018-03-14,18564.70,30.0,Disposed,2019-08-23T17:06:30
276,Similar Asset,Tools,2022-09-18,59415.24,25.0,Retired,2021-10-30T08:17:56
277,Practice Asset,Vehicles,2019-07-26,25658.54,25.0,Disposed,2024-05-28T13:12:59
278,Add Asset,IT Equipment,2019-12-17,24581.83,30.0,Retired,2025-03-26T00:41:28
279,Before Asset,Vehicles,2016-03-19,28525.83,15.0,Disposed,2021-05-07T11:30:06
280,Heavy Asset,Office Equipment,2020-11-15,70536.93,5.0,Active,2021-05-27T23:51:06
281,Mother Asset,IT Equipment,2023-02-16,62775.56,10.0,Disposed,2021-12-11T02:06:28
282,Case Asset,Office Equipment,2025-08-19,64229.45,5.0,Disposed,2023-08-19T20:49:23
283,Level Asset,Vehicles,2023-02-11,5951.64,15.0,Active,2025-01-13T05:32:33
284,So Asset,IT Equipment,2020-09-29,24247.72,25.0,Retired,2023-12-10T20:02:53
285,Network Asset,Furniture,2017-05-27,78162.66,5.0,Retired,2020-10-14T06:40:40
286,Million Asset,Office Equipment,2019-01-29,18818.10,5.0,Disposed,2016-08-13T12:03:21
287,View Asset,Vehicles,2016-02-16,74386.56,30.0,Retired,2024-08-22T00:54:54
288,Begin Asset,Vehicles,2020-07-15,6330.55,25.0,Retired,2025-10-09T11:07:48
289,Ever Asset,Vehicles,2025-07-19,8404.92,15.0,Retired,2020-12-19T10:18:36
290,Range Asset,Vehicles,2017-07-16,34226.39,15.0,Retired,2017-02-16T16:16:42
291,Common Asset,Vehicles,2017-09-07,25921.68,25.0,Disposed,2022-10-06T09:17:17
292,Now Asset,Furniture,2025-10-12,59001.15,5.0,Active,2025-01-21T10:04:52
293,Yard Asset,Tools,2021-05-04,54911.56,30.0,Retired,2016-10-07T16:27:53
294,Phone Asset,Furniture,2024-02-15,71824.80,5.0,Active,2024-03-27T07:11:33
295,Couple Asset,Furniture,2025-06-21,89.27,5.0,Active,2024-09-09T15:45:59
