id,date,description,inflow,outflow,balance,created_at
154,2024-07-19,See face message.,45075.33,4799.33,40276.00,2022-02-20T22:56:06
155,2022-09-07,Address whom picture often thank road.,20978.49,14176.91,6801.58,2025-07-24T03:46:19
156,2022-07-12,Lose herself art business.,42531.04,36760.69,5770.35,2024-04-24T22:39:41
157,2024-05-31,After act simple lay.,31585.92,8443.27,23142.65,2022-09-02T20:56:54
158,2023-02-17,Over until every speak identify also amount.,14270.48,22987.98,-8717.50,2023-10-12T11:09:40
159,2022-07-07,Main me game deal.,17268.18,2293.61,14974.57,2025-02-18T14:10:00
160,2025-08-12,Also guy management describe east early through consumer.,11756.04,20052.38,-8296.34,2022-02-01T12:14:13
161,2021-01-16,Money where again condition make half across.,33770.61,15843.72,17926.89,2024-10-27T07:20:59
162,2021-01-03,From bill TV know could mission.,32462.26,15917.42,16544.84,2024-12-26T09:53:33
163,2023-09-03,Because art indeed father other federal population result.,17585.48,21134.53,-3549.05,2024-01-28T12:22:52
164,2025-07-15,Goal serve wife power analysis.,7208.40,28964.40,-21756.00,2025-01-25T21:34:38
165,2024-04-27,Use be parent list race.,46603.55,35100.31,11503.24,2025-02-05T15:36:55
166,2021-08-15,Baby admit key say.,9501.51,35507.50,-26005.99,2024-11-07T01:59:58
167,2025-04-14,Project agency go wind huge.,38443.17,33880.80,4562.37,2023-05-28T23:08:27
168,2022-06-04,Bar ball child military.,1148.35,39847.02,-38698.67,2021-02-17T10:35:47
169,2022-06-29,Significant school food out entire result.,49660.88,35733.82,13927.06,2023-04-10T20:24:15
170,2024-08-22,Quality individual career development.,48949.29,22103.36,26845.93,2022-12-30T07:29:29
171,2023-02-06,Top against thank mother.,24459.87,10186.93,14272.94,2025-05-08T13:26:26
172,2024-06-07,Miss economy radio without.,45842.70,16528.84,29313.86,2021-02-27T17:59:08
173,2021-06-15,Time poor she movement.,44630.02,26780.05,17849.97,2021-04-18T09:39:05
174,2022-01-02,Move remain late finish firm.,28425.52,32589.73,-4164.21,2024-01-02T12:41:20
175,2021-08-30,Least place manage message language help.,46621.83,14521.55,32100.28,2021-10-29T01:46:54
176,2021-10-10,Law note science fine and fight source.,12564.77,21763.52,-9198.75,2024-08-17T18:32:38
177,2024-12-28,Better involve table seem protect.,5928.50,29834.82,-23906.32,2025-03-20T05:02:19
178,2025-09-23,Fly building live book hundred onto perform.,34391.46,34209.62,181.84,2021-08-27T03:25:57
179,2023-09-28,Happen reflect large happen hope bring.,10003.88,9816.01,187.87,2024-07-19T15:53:58
180,2024-11-21,Point conference though final soon sport situation threat.,44225.61,1445.47,42780.14,2025-07-15T14:37:08
181,2024-01-06,Military civil size test.,10962.39,10851.81,110.58,2021-03-23T05:27:16
182,2020-11-17,Similar couple believe check.,40778.95,11170.14,29608.81,2022-05-03T23:03:43
183,2023-12-15,Son meeting blood issue movie anything take behavior.,7037.91,25562.66,-18524.75,2024-01-17T17:00:34
184,2021-12-30,Modern report local college ago pay reason.,25747.91,14114.81,11633.10,2021-10-08T16:25:33
185,2025-10-18,Second according arm.,27286.28,20397.85,6888.43,2025-09-20T09:08:42
186,2021-11-15,Performance read keep drug.,29475.56,607.11,28868.45,2024-05-05T19:54:46
187,2024-07-14,Entire standard sure state continue bank arm.,30595.63,14915.59,15680.04,2021-02-27T14:49:44
188,2024-11-19,Plan matter matter national call.,30661.24,7111.20,23550.04,2022-12-12T14:28:33
189,2021-01-21,Loss box consider recognize term develop know north.,33215.20,23916.09,9299.11,2025-05-05T19:36:11
190,2025-10-22,Home defense fine available.,40511.77,38074.90,2436.87,2022-04-01T02:49:28
191,2023-08-14,Decade education cover brother war budget.,21779.55,6529.30,15250.25,2022-04-04T04:04:35
192,2022-11-23,They draw health small minute.,11999.63,21554.90,-9555.27,2024-08-19T20:00:01
193,2024-12-10,Writer together task move.,4145.38,6960.69,-2815.31,2020-11-20T22:17:18
194,2021-12-02,Back act red read.,17022.81,36231.00,-19208.19,2021-03-05T17:16:51
195,2025-05-14,Quickly run recently view against as first whatever.,6138.29,8234.41,-2096.12,2021-08-21T18:15:45
196,2024-05-21,Building ten on trip cost wrong quite third.,36976.50,28148.70,8827.80,2022-03-25T15:24:15
197,2021-06-20,Field us senior their.,49972.72,38610.08,11362.64,2022-10-18T20:47:33
198,2020-12-21,Treatment character mouth measure anyone.,31739.04,18811.98,12927.06,2022-10-01T01:59:05
199,2024-01-08,Final later wish chance certain.,28051.18,29935.96,-1884.78,2022-04-10T22:51:18
200,2025-06-20,Lawyer age father relate carry include.,47548.25,6439.97,41108.28,2021-11-19T05:23:25
201,2022-10-26,Say help security couple it real smile cover.,48095.01,37132.50,10962.51,2023-05-18T12:20:08
202,2023-02-02,Behavior trouble tell good shake blood yourself.,42509.95,5368.05,37141.90,2024-10-22T22:27:54
203,2023-12-19,Think society consumer identify.,25696.09,3517.22,22178.87,2024-11-12T05:56:54
204,2022-02-06,Prove forget happy executive at own.,22717.51,3226.63,19490.88,2022-10-10T18:22:19
205,2023-08-23,Democrat address return add investment direction girl.,48657.99,16819.79,31838.20,2021-02-17T01:08:58
206,2022-08-25,Rise tell finish if piece reduce.,28201.42,14514.19,13687.23,2025-06-16T18:22:39
207,2024-05-15,Board officer start simply.,45708.70,5340.78,40367.92,2022-03-20T03:25:48
208,2021-03-05,Body prepare none federal.,19328.73,30336.02,-11007.29,2024-06-10T02:50:53
209,2022-06-29,Show local sell market lot goal billion.,14313.17,18193.25,-3880.08,2021-11-26T23:15:30
210,2024-06-24,Drive two worker through page student talk effect.,38847.25,26677.84,12169.41,2025-10-09T01:41:53
211,2023-02-08,Factor her site floor person last other serve.,13878.65,39759.23,-25880.58,2025-08-28T02:41:02
212,2022-05-12,With public make standard on audience others.,41946.98,11274.98,30672.00,2021-08-16T21:47:38
213,2022-06-24,Address represent over or.,12335.42,2928.94,9406.48,2023-09-16T06:28:04
214,2022-10-29,Car bed piece start national trial officer.,37149.21,7451.17,29698.04,2025-03-02T18:24:57
215,2024-03-04,Gas part fast budget enter.,11916.67,28008.87,-16092.20,2021-08-28T08:25:28
216,2025-07-18,Trip term economy.,41349.15,17247.35,24101.80,2024-06-09T21:59:25
217,2024-10-08,Thing society sound side bit prevent treatment.,33148.99,17078.09,16070.90,2021-02-03T17:50:29
218,2022-01-26,Blue evening unit action while.,23433.01,22924.74,508.27,2022-12-21T21:58:30
219,2021-04-17,Rest plant billion.,2496.86,16982.03,-14485.17,2020-11-28T08:43:29
220,2022-03-06,Spring cost similar certain about claim.,31986.55,38388.08,-6401.53,2025-07-16T06:54:17
221,2020-11-07,Step mean board school region.,12850.38,19282.81,-6432.43,2023-05-08T14:50:48
222,2025-04-18,Imagine toward establish thank production never.,31737.48,30046.23,1691.25,2023-08-28T07:12:53
223,2021-05-27,Bill radio also window actually.,35621.52,3903.71,31717.81,2023-04-23T16:33:28
224,2022-06-24,Writer dark order life sing.,33093.37,2460.68,30632.69,2023-05-26T11:45:21
225,2024-11-16,Second least energy away relationship purpose.,76.84,9218.45,-9141.61,2023-03-25T23:33:42
226,2021-10-11,Admit cost case event during five agent.,12516.14,29667.17,-17151.03,2022-07-16T12:06:21
227,2021-11-27,Less to call ground free certainly hour.,42309.22,6936.68,35372.54,2022-07-18T18:23:33
228,2024-08-08,Government newspaper reveal continue structure laugh.,892.18,3397.31,-2505.13,2021-04-19T19:47:46
229,2024-06-25,Rock democratic lay four drop interview effect.,27312.86,18751.02,8561.84,2023-01-30T00:40:44
230,2025-10-12,Four tonight professor minute be would sing later.,23783.90,24834.90,-1051.00,2025-01-09T13:57:05
231,2024-01-18,All name again section wish little.,17289.62,8867.55,8422.07,2025-08-12T18:04:04
232,2024-10-21,Reach student nature modern.,43324.09,29879.00,13445.09,2023-07-15T09:58:05
233,2025-07-04,Beat skill yet everything order.,14125.07,5330.02,8795.05,2025-03-03T04:11:31
234,2021-05-27,Personal exist feeling line candidate quickly them particularly.,10587.16,9039.07,1548.09,2023-01-07T08:04:49
235,2025-08-07,Necessary politics start actually personal none focus.,30798.26,5357.30,25440.96,2020-11-08T06:07:26
236,2022-09-25,Turn sing general sort.,6407.44,35402.90,-28995.46,2023-07-04T12:06:19
237,2021-05-10,Challenge college threat federal particularly small instead.,24626.97,18040.48,6586.49,2023-11-12T03:46:01
238,2025-04-29,Result it small free go.,9072.90,18247.51,-9174.61,2020-11-03T13:02:13
239,2022-11-13,Argue treatment project that accept expect computer.,18105.60,26978.11,-8872.51,2025-09-01T03:32:38
240,2023-01-02,Ground outside indicate him in wife could.,2395.07,39804.95,-37409.88,2022-02-04T13:35:27
241,2022-12-23,Lose media entire wife window.,32918.47,20846.63,12071.84,2024-12-25T04:24:52
242,2022-09-25,Today place much.,43863.20,7468.05,36395.15,2022-06-07T04:15:34
243,2021-04-29,Professor blood recent animal until.,4990.38,37022.85,-32032.47,2022-12-05T17:47:18
244,2023-04-17,Manage young strong prevent.,26316.58,17279.04,9037.54,2022-09-17T07:00:37
245,2023-10-12,Former industry score that identify ago budget visit.,1742.27,28439.02,-26696.75,2025-02-06T07:47:39
246,2023-05-01,Drive leave total good pay line.,9480.22,9211.72,268.50,2022-09-23T01:29:16
247,2025-01-05,Rate attorney garden house cultural though.,41355.23,28460.16,12895.07,2021-01-05T10:48:19
248,2022-06-29,Culture eat run soldier again difficult serve.,26711.51,21680.80,5030.71,2024-12-05T23:50:04
249,2023-02-17,Best news adult almost.,25274.90,11909.30,13365.60,2025-04-23T03:06:14
250,2021-01-27,Culture skin house own where.,40566.77,632.58,39934.19,2021-12-28T03:34:37
251,2021-12-13,Lead official media much admit well girl.,37403.95,26686.11,10717.84,2021-03-13T02:27:58
252,2025-10-04,Discuss thousand car medical present art real short.,23106.07,36008.62,-12902.55,2023-08-09T20:24:16
253,2024-01-04,Role knowledge spend parent soldier.,31292.72,35376.60,-4083.88,2024-03-10T15:39:57
254,2024-02-13,Again account body sister choice significant interest table.,38592.91,9863.36,28729.55,2025-08-17T23:53:11
255,2024-05-03,Safe that Mrs effort scientist if.,33169.34,31663.83,1505.51,2021-12-15T13:13:51
256,2021-10-21,Manager she cell federal who.,15553.67,30112.66,-14558.99,2020-11-20T16:28:49
257,2025-10-13,Congress hold best decide team.,2798.89,15332.75,-12533.86,2024-12-05T17:08:39
258,2025-08-01,Way health opportunity school trade between.,35078.13,28890.67,6187.46,2022-11-28T18:38:26
259,2024-06-11,Something make would similar hear theory cause kid.,12222.06,23589.72,-11367.66,2022-11-10T13:39:43
260,2023-02-21,Rule myself own partner growth development.,26311.23,9653.88,16657.35,2021-06-27T09:53:14
261,2021-05-16,Sense what because left there medical push.,32260.70,2182.82,30077.88,2021-10-03T13:24:56
262,2020-11-18,Unit everything strategy shoulder rock product.,49539.02,37348.41,12190.61,2020-11-27T01:55:32
263,2021-04-27,Despite store meeting clearly necessary carry establish admit.,15524.33,3248.55,12275.78,2024-11-24T15:43:52
264,2023-06-10,Sport family start necessary woman.,20984.32,26606.58,-5622.26,2025-03-13T23:27:55
265,2020-11-24,Or continue admit back.,32270.31,23682.11,8588.20,2024-05-30T04:39:02
266,2022-04-12,Term rise market each tonight family somebody no.,14490.56,29845.22,-15354.66,2022-12-09T17:10:56
267,2024-02-06,Energy size right save me probably.,22255.28,18090.24,4165.04,2021-03-24T02:37:29
268,2022-01-31,Sound heavy across hand company.,33225.31,2729.93,30495.38,2023-07-01T06:43:46
269,2024-09-02,Meeting help I consider let treat dog.,49683.21,22780.27,26902.94,2025-09-06T21:37:52
270,2021-10-07,Southern pull fill lot factor read.,39369.82,8609.97,30759.85,2023-02-06T09:29:21
271,2022-06-02,Course wear after.,20713.25,36780.32,-16067.07,2022-03-10T10:37:00
272,2021-08-30,Cup build energy today describe activity face same.,43655.43,34789.13,8866.30,2020-12-07T08:43:07
273,2021-02-28,Why design ready company enter with agreement plant.,16278.41,28745.87,-12467.46,2023-06-23T07:37:26
274,2021-03-06,Child boy industry TV concern special.,39013.40,13121.18,25892.22,2021-07-13T23:06:52
275,2023-01-14,Once can Mrs if.,39259.21,5402.71,33856.50,2025-03-09T13:09:13
276,2025-01-31,Candidate put through center support expert war answer.,48618.06,4590.64,44027.42,2025-01-24T23:20:28
277,2021-09-08,Second team painting vote take read full.,28013.76,29932.90,-1919.14,2022-09-12T18:07:42
278,2022-02-02,Question value represent employee conference.,8645.83,38114.17,-29468.34,2024-12-09T00:04:58
279,2025-08-08,Detail national respond including management down rest modern.,16609.42,25214.58,-8605.16,2025-05-14T23:14:01
280,2025-03-25,Walk Democrat hour through manager manager matter.,4369.23,11231.38,-6862.15,2023-01-12T15:16:00
281,2022-12-05,Trouble million clear none type old meeting arrive.,10688.21,19496.63,-8808.42,2022-10-14T07:30:01
