id,product,sku,warehouse,quantity,reorder_level,status,updated_at
55,Office LightSeaGreen,SKU-100055,Main Warehouse,323,60,Discontinued,2025-01-22T06:11:12
56,Believe DeepSkyBlue,SKU-100056,WH-C,1948,90,Low Stock,2024-01-01T19:14:04
57,Eat Cyan,SKU-100057,WH-B,54,164,Available,2023-05-27T08:21:43
58,Little MediumOrchid,SKU-100058,Main Warehouse,950,287,Low Stock,2024-05-23T01:41:34
59,Real SaddleBrown,SKU-100059,WH-A,735,360,Low Stock,2024-05-26T17:38:42
60,Inside Purple,SKU-100060,WH-B,1842,217,Discontinued,2025-10-16T15:16:43
61,Season LawnGreen,SKU-100061,WH-B,972,449,Available,2024-09-18T12:01:19
62,Whom SkyBlue,SKU-100062,Main Warehouse,453,74,Backordered,2023-01-22T21:58:29
63,Treat PaleGoldenRod,SKU-100063,WH-A,1988,120,Available,2025-08-19T20:47:11
64,Indicate Plum,SKU-100064,WH-B,1200,90,Available,2023-04-08T03:23:39
65,Consider Red,SKU-100065,WH-C,1088,409,Backordered,2025-04-09T11:03:49
66,Recognize Purple,SKU-100066,WH-A,378,87,Available,2025-04-02T03:29:26
67,Piece LightGoldenRodYellow,SKU-100067,Main Warehouse,195,353,Available,2023-09-03T08:21:08
68,Discover WhiteSmoke,SKU-100068,WH-A,1180,132,Low Stock,2024-05-16T10:30:31
69,Establish MintCream,SKU-100069,WH-B,765,326,Low Stock,2025-04-15T02:10:39
70,Room MediumOrchid,SKU-100070,Main Warehouse,1237,259,Available,2024-03-24T10:59:59
71,Sense SeaGreen,SKU-100071,WH-A,4,39,Available,2025-05-16T17:12:28
72,Large MediumSpringGreen,SKU-100072,WH-B,1451,307,Backordered,2025-07-22T12:02:30
73,Theory Cornsilk,SKU-100073,Main Warehouse,203,202,Low Stock,2024-02-04T11:19:50
74,Other LightSteelBlue,SKU-100074,WH-B,1723,184,Discontinued,2025-10-31T19:18:09
75,World PowderBlue,SKU-100075,WH-C,1433,262,Available,2025-02-06T20:47:09
76,Always DarkCyan,SKU-100076,WH-C,724,317,Backordered,2022-11-19T12:05:18
77,Everything Plum,SKU-100077,WH-A,1489,240,Low Stock,2024-09-27T18:58:39
78,Follow NavajoWhite,SKU-100078,WH-B,0,156,Backordered,2024-10-29T05:08:35
79,Modern Crimson,SKU-100079,WH-B,279,390,Low Stock,2025-05-26T17:10:58
80,Station DarkRed,SKU-100080,WH-A,1970,207,Discontinued,2025-08-09T16:28:19
81,Pass Indigo,SKU-100081,Main Warehouse,1876,410,Available,2023-09-25T18:37:44
82,More Green,SKU-100082,WH-C,678,202,Backordered,2023-02-11T16:28:17
83,Reflect White,SKU-100083,Main Warehouse,1503,157,Low Stock,2023-11-06T13:57:49
84,Few Turquoise,SKU-100084,Main Warehouse,26,410,Available,2025-02-05T23:14:07
85,Film Olive,SKU-100085,WH-C,1935,397,Backordered,2024-06-28T07:16:55
86,Each Violet,SKU-100086,WH-B,1387,324,Available,2025-03-25T01:55:21
87,Natural Cornsilk,SKU-100087,WH-A,1372,241,Discontinued,2024-03-12T12:22:25
88,Above GreenYellow,SKU-100088,Main Warehouse,1984,225,Discontinued,2024-10-08T04:52:44
89,South Yellow,SKU-100089,WH-C,119,186,Low Stock,2024-04-01T16:39:46
90,Significant MediumBlue,SKU-100090,Main Warehouse,1327,468,Discontinued,2024-11-24T13:05:37
91,East Wheat,SKU-100091,WH-A,256,23,Low Stock,2023-12-21T22:59:52
92,Young NavajoWhite,SKU-100092,WH-A,1682,368,Backordered,2024-01-31T21:32:08
93,Development DarkGreen,SKU-100093,Main Warehouse,1121,38,Discontinued,2023-01-24T05:30:33
94,Himself Peru,SKU-100094,WH-A,1632,379,Available,2024-09-12T04:21:54
95,Item DimGray,SKU-100095,WH-B,270,135,Available,2024-02-19T02:48:52
96,Space DarkViolet,SKU-100096,WH-A,800,254,Discontinued,2023-06-09T15:54:20
97,Main LightGray,SKU-100097,WH-A,791,332,Discontinued,2023-02-15T17:15:43
98,Thing SlateGray,SKU-100098,Main Warehouse,418,181,Low Stock,2024-07-15T13:06:41
99,Road Gainsboro,SKU-100099,WH-B,309,111,Discontinued,2022-12-15T23:16:37
100,Source Yellow,SKU-100100,WH-A,1104,192,Low Stock,2023-02-14T01:10:55
101,Order DodgerBlue,SKU-100101,WH-A,1779,80,Discontinued,2022-12-08T08:20:17
102,Remember MediumAquaMarine,SKU-100102,WH-C,1325,272,Backordered,2024-12-14T03:28:28
103,Much MistyRose,SKU-100103,Main Warehouse,451,476,Discontinued,2024-02-21T15:02:10
104,Character FloralWhite,SKU-100104,WH-A,170,156,Low Stock,2023-05-22T17:24:29
105,Few ForestGreen,SKU-100105,WH-C,394,21,Available,2024-05-08T21:55:56
106,Age Cyan,SKU-100106,WH-A,1922,392,Low Stock,2025-08-10T08:23:19
107,Doctor Linen,SKU-100107,Main Warehouse,1700,182,Low Stock,2025-06-23T11:21:44
108,None Silver,SKU-100108,WH-B,1789,134,Available,2024-07-26T22:51:27
109,World HotPink,SKU-100109,WH-B,293,142,Discontinued,2023-07-06T20:23:30
110,Certainly Yellow,SKU-100110,WH-C,1227,347,Discontinued,2024-06-14T01:32:24
111,Statement MediumSpringGreen,SKU-100111,Main Warehouse,1254,116,Low Stock,2023-05-18T05:57:23
112,Among Linen,SKU-100112,Main Warehouse,1546,284,Backordered,2023-05-01T22:59:38
113,Eight Yellow,SKU-100113,WH-A,1005,347,Low Stock,2024-12-16T08:56:34
114,War Red,SKU-100114,Main Warehouse,845,185,Available,2025-04-21T17:28:20
115,Stay MediumSeaGreen,SKU-100115,WH-C,1834,117,Low Stock,2023-01-19T18:40:05
116,Enjoy Aqua,SKU-100116,WH-A,193,60,Backordered,2024-03-19T20:39:13
117,Rate DarkOrchid,SKU-100117,WH-A,1668,208,Backordered,2022-12-10T00:01:48
118,Friend Blue,SKU-100118,WH-B,1434,229,Discontinued,2025-05-07T22:36:36
119,Force SkyBlue,SKU-100119,WH-C,376,230,Discontinued,2024-09-16T04:30:40
120,Clear Navy,SKU-100120,WH-B,1784,464,Backordered,2024-02-16T04:12:34
121,Sense Chartreuse,SKU-100121,WH-A,1649,83,Discontinued,2023-06-13T12:50:58
122,Seven WhiteSmoke,SKU-100122,WH-B,572,171,Backordered,2023-07-22T09:11:06
123,Practice LawnGreen,SKU-100123,WH-B,1970,423,Low Stock,2025-01-15T07:28:06
124,Return FloralWhite,SKU-100124,Main Warehouse,1945,437,Backordered,2023-11-18T03:23:15
125,Condition Blue,SKU-100125,Main Warehouse,643,486,Discontinued,2024-01-20T14:56:31
126,Budget LightSkyBlue,SKU-100126,Main Warehouse,841,143,Discontinued,2024-04-16T10:23:34
127,Politics DarkGreen,SKU-100127,WH-C,1205,228,Low Stock,2022-12-06T10:04:33
128,Certain RosyBrown,SKU-100128,WH-B,570,426,Backordered,2023-12-16T22:34:57
129,Nothing SkyBlue,SKU-100129,WH-C,1700,71,Available,2024-05-27T23:23:46
130,Card Magenta,SKU-100130,WH-C,833,330,Low Stock,2023-09-23T15:27:43
131,Kind DarkGray,SKU-100131,WH-C,11,500,Discontinued,2024-06-10T14:17:14
132,Position Olive,SKU-100132,WH-B,1987,300,Discontinued,2024-09-07T06:10:36
133,Card White,SKU-100133,WH-C,784,283,Backordered,2025-06-20T22:42:22
134,Understand Bisque,SKU-100134,WH-A,292,429,Available,2024-07-27T15:20:48
135,Phone Plum,SKU-100135,Main Warehouse,1568,74,Discontinued,2024-12-22T16:17:02
136,Today Lavender,SKU-100136,Main Warehouse,1456,262,Low Stock,2023-03-14T11:38:06
137,Election Bisque,SKU-100137,WH-B,1514,173,Available,2025-08-23T11:57:45
138,Pattern Violet,SKU-100138,Main Warehouse,1196,408,Low Stock,2024-09-20T01:05:30
139,Nor PapayaWhip,SKU-100139,WH-C,1402,459,Backordered,2023-06-01T18:37:48
140,Scientist RosyBrown,SKU-100140,WH-B,149,77,Available,2025-10-07T02:19:50
141,Pick DarkSeaGreen,SKU-100141,WH-C,895,454,Backordered,2023-07-06T03:37:45
142,Suggest Coral,SKU-100142,WH-A,381,85,Low Stock,2023-08-25T20:35:41
143,Allow Cornsilk,SKU-100143,WH-C,1828,262,Discontinued,2024-11-05T12:48:59
144,Cost HotPink,SKU-100144,WH-A,587,476,Backordered,2024-11-05T00:45:48
145,Quite LavenderBlush,SKU-100145,Main Warehouse,1480,300,Discontinued,2025-06-09T07:40:20
146,Face Khaki,SKU-100146,WH-B,765,69,Backordered,2024-01-26T17:54:54
147,Professional FireBrick,SKU-100147,WH-A,939,22,Low Stock,2023-04-12T15:18:14
148,Show FireBrick,SKU-100148,WH-B,1330,322,Low Stock,2023-02-05T17:02:30
149,Last DimGray,SKU-100149,WH-A,599,241,Low Stock,2025-07-23T12:04:42
150,From MediumVioletRed,SKU-100150,WH-B,395,237,Low Stock,2023-08-02T08:57:51
151,Move Beige,SKU-100151,WH-A,1897,300,Backordered,2023-04-13T19:28:44
152,Statement GhostWhite,SKU-100152,WH-C,131,377,Discontinued,2023-05-19T18:58:12
153,Lot Cyan,SKU-100153,Main Warehouse,819,402,Discontinued,2025-10-24T22:30:46
154,Assume Beige,SKU-100154,WH-A,809,110,Discontinued,2024-03-08T06:55:16
155,Site MediumSlateBlue,SKU-100155,WH-B,1374,81,Discontinued,2025-10-28T21:05:41
156,Example LightSkyBlue,SKU-100156,WH-B,8,67,Available,2025-09-04T13:16:38
157,Step DarkRed,SKU-100157,WH-B,1808,416,Low Stock,2023-12-21T05:39:48
158,Break Gold,SKU-100158,WH-A,1682,495,Available,2025-10-28T10:43:12
159,Matter Tomato,SKU-100159,WH-C,1030,480,Backordered,2023-10-19T15:26:06
160,Lot Linen,SKU-100160,WH-B,794,428,Backordered,2023-05-29T10:22:13
161,Loss DarkOliveGreen,SKU-100161,WH-B,419,395,Low Stock,2024-03-27T18:15:48
162,Do Indigo,SKU-100162,Main Warehouse,1738,241,Discontinued,2024-03-13T02:25:23
163,Else Chocolate,SKU-100163,WH-A,1939,414,Low Stock,2023-10-02T19:28:02
164,Dinner LightGoldenRodYellow,SKU-100164,Main Warehouse,1021,380,Available,2025-06-07T05:13:25
165,Particular Peru,SKU-100165,WH-B,780,14,Backordered,2024-09-09T11:40:55
166,Wife Azure,SKU-100166,WH-C,1242,479,Backordered,2025-02-23T23:24:20
167,Message NavajoWhite,SKU-100167,Main Warehouse,1795,478,Low Stock,2024-07-16T02:34:16
168,Improve Fuchsia,SKU-100168,WH-A,1151,199,Discontinued,2024-04-05T02:25:45
169,Have Plum,SKU-100169,WH-C,1163,376,Available,2023-02-12T20:44:37
170,Myself Aquamarine,SKU-100170,WH-A,1775,106,Low Stock,2023-06-01T03:54:45
171,Board MediumBlue,SKU-100171,WH-C,1273,199,Available,2025-03-08T20:45:52
172,Style Lavender,SKU-100172,WH-B,766,35,Available,2025-06-03T12:16:35
173,Ask LightGreen,SKU-100173,WH-A,221,470,Backordered,2024-03-07T02:05:25
174,Upon DeepSkyBlue,SKU-100174,WH-C,801,66,Discontinued,2024-11-12T07:43:23
175,Mother LightBlue,SKU-100175,WH-C,1611,470,Available,2025-09-18T08:11:41
176,Recognize Yellow,SKU-100176,WH-A,443,497,Available,2023-09-17T04:55:28
177,Campaign PaleGoldenRod,SKU-100177,WH-C,522,336,Available,2022-11-17T05:19:30
178,Conference LightSlateGray,SKU-100178,WH-A,577,41,Backordered,2023-12-18T21:32:11
179,Next SlateBlue,SKU-100179,WH-B,130,188,Discontinued,2024-01-03T12:20:56
180,Begin Crimson,SKU-100180,Main Warehouse,1830,270,Backordered,2023-02-11T14:29:03
181,Involve SlateGray,SKU-100181,WH-A,1407,119,Backordered,2025-04-30T22:46:40
182,Scene Orchid,SKU-100182,WH-B,1069,334,Available,2024-05-07T05:20:09
183,Concern Linen,SKU-100183,WH-C,1054,340,Low Stock,2023-09-13T03:13:24
184,Scene GhostWhite,SKU-100184,Main Warehouse,635,244,Backordered,2024-06-08T08:33:10
185,Fund LightGreen,SKU-100185,WH-C,1035,35,Low Stock,2025-10-26T05:13:09
186,Single HoneyDew,SKU-100186,WH-A,1278,337,Available,2024-01-26T02:48:59
187,Such PapayaWhip,SKU-100187,WH-A,1888,216,Backordered,2024-09-14T01:39:58
188,Food Black,SKU-100188,Main Warehouse,577,239,Available,2023-03-09T13:57:16
189,Different LightSalmon,SKU-100189,Main Warehouse,1721,427,Discontinued,2023-07-28T14:59:29
190,Or SpringGreen,SKU-100190,WH-C,73,56,Available,2023-07-28T23:49:54
191,Serve Fuchsia,SKU-100191,WH-B,1819,246,Available,2023-04-18T02:03:20
192,Crime FloralWhite,SKU-100192,Main Warehouse,1837,320,Low Stock,2024-08-15T11:59:20
193,Attorney DarkGreen,SKU-100193,Main Warehouse,1437,62,Discontinued,2023-05-27T11:04:05
194,End Tan,SKU-100194,WH-A,218,197,Discontinued,2023-12-27T17:15:21
195,Require SaddleBrown,SKU-100195,Main Warehouse,1636,274,Discontinued,2024-08-14T08:53:55
196,Why Black,SKU-100196,WH-A,174,301,Discontinued,2023-03-06T07:45:00
197,Doctor SlateBlue,SKU-100197,Main Warehouse,898,192,Low Stock,2023-12-02T05:01:09
198,Listen LightBlue,SKU-100198,WH-B,327,221,Available,2023-07-29T23:56:12
199,Evidence HoneyDew,SKU-100199,Main Warehouse,1781,31,Backordered,2024-03-25T20:42:21
200,Contain Khaki,SKU-100200,WH-A,681,284,Low Stock,2025-08-25T15:55:26
201,Fact YellowGreen,SKU-100201,WH-C,388,140,Backordered,2024-07-13T07:13:54
202,Crime SeaGreen,SKU-100202,WH-A,1204,188,Discontinued,2024-11-28T14:37:46
203,Cut LightSalmon,SKU-100203,WH-C,900,371,Low Stock,2024-09-30T10:44:18
204,Strategy LightSteelBlue,SKU-100204,WH-C,505,196,Low Stock,2025-05-08T18:37:38
205,Social FireBrick,SKU-100205,WH-B,1184,345,Low Stock,2025-01-17T17:27:23
206,Him AliceBlue,SKU-100206,WH-C,326,208,Discontinued,2024-08-09T08:31:45
207,Design Pink,SKU-100207,WH-B,193,249,Discontinued,2022-11-17T23:28:07
208,Test Olive,SKU-100208,WH-C,1145,32,Available,2025-01-26T01:16:52
209,Try LawnGreen,SKU-100209,WH-C,1104,426,Backordered,2025-03-21T16:48:01
210,Compare CadetBlue,SKU-100210,Main Warehouse,876,290,Discontinued,2024-03-30T08:50:42
211,Tough HotPink,SKU-100211,WH-B,8,427,Low Stock,2023-08-12T13:46:58
212,Choice PowderBlue,SKU-100212,WH-A,310,413,Backordered,2024-05-10T10:41:35
213,Walk RoyalBlue,SKU-100213,WH-B,322,471,Discontinued,2024-11-27T18:24:30
214,Yard PaleGreen,SKU-100214,WH-B,980,396,Discontinued,2022-11-17T00:51:16
215,Marriage Plum,SKU-100215,Main Warehouse,1213,296,Low Stock,2023-12-10T15:22:00
216,Stage White,SKU-100216,WH-C,648,45,Backordered,2024-09-19T18:30:40
217,Decade Gray,SKU-100217,WH-A,337,173,Low Stock,2024-02-15T22:12:47
218,Plant FireBrick,SKU-100218,WH-C,1932,163,Discontinued,2025-05-21T19:13:41
219,Big Ivory,SKU-100219,WH-A,1983,132,Available,2025-01-02T06:47:45
220,Positive Lime,SKU-100220,Main Warehouse,1675,107,Available,2023-03-03T19:03:11
221,Order LightGreen,SKU-100221,Main Warehouse,256,463,Available,2023-06-28T19:52:20
222,Open Violet,SKU-100222,Main Warehouse,1567,434,Low Stock,2024-12-12T10:35:51
223,All DimGray,SKU-100223,WH-B,1945,257,Discontinued,2025-10-11T20:10:38
224,Last SteelBlue,SKU-100224,Main Warehouse,933,480,Available,2024-07-17T22:32:05
225,Student MediumSpringGreen,SKU-100225,WH-A,1799,399,Backordered,2024-05-15T13:38:20
226,Military BlueViolet,SKU-100226,WH-B,653,75,Discontinued,2025-06-14T18:42:50
227,Two DarkGray,SKU-100227,Main Warehouse,406,10,Available,2024-11-21T08:51:08
228,Figure Coral,SKU-100228,WH-A,906,474,Available,2025-07-23T20:00:19
229,Political Olive,SKU-100229,WH-B,149,34,Low Stock,2023-02-13T12:50:59
230,Figure Chartreuse,SKU-100230,WH-C,288,109,Backordered,2023-12-02T19:51:29
231,High BlueViolet,SKU-100231,WH-C,1001,120,Available,2023-11-23T16:08:06
232,Natural SaddleBrown,SKU-100232,WH-C,1513,347,Discontinued,2023-07-06T17:44:29
233,Find SaddleBrown,SKU-100233,Main Warehouse,961,58,Discontinued,2024-05-01T14:22:51
234,Financial Wheat,SKU-100234,WH-A,1388,306,Discontinued,2025-01-12T19:19:36
235,Power ForestGreen,SKU-100235,WH-A,770,196,Discontinued,2025-10-18T06:35:18
236,Ahead OliveDrab,SKU-100236,WH-C,1580,214,Discontinued,2023-04-26T21:16:29
237,War DeepPink,SKU-100237,Main Warehouse,832,161,Available,2025-10-14T20:42:57
238,Hot Indigo,SKU-100238,Main Warehouse,1073,447,Low Stock,2023-06-22T07:21:29
239,Financial CadetBlue,SKU-100239,WH-B,588,408,Backordered,2024-10-04T00:20:43
240,Forget GreenYellow,SKU-100240,WH-A,35,324,Backordered,2024-07-05T17:33:25
241,Become MediumOrchid,SKU-100241,WH-B,330,489,Backordered,2024-12-28T05:43:12
242,Figure Moccasin,SKU-100242,WH-B,1381,204,Backordered,2024-08-23T01:54:14
243,Foot Peru,SKU-100243,WH-B,1598,244,Low Stock,2023-09-30T16:41:18
244,Success SeaShell,SKU-100244,WH-B,260,438,Available,2023-03-09T03:23:47
245,She SlateBlue,SKU-100245,WH-A,1556,142,Low Stock,2023-06-18T15:38:20
246,If Purple,SKU-100246,WH-A,939,20,Backordered,2025-02-06T18:10:35
247,Network Snow,SKU-100247,WH-C,979,353,Low Stock,2022-12-23T06:48:17
248,Issue SaddleBrown,SKU-100248,Main Warehouse,102,400,Available,2023-02-01T02:24:39
249,Spend SlateGray,SKU-100249,WH-C,1009,413,Available,2022-11-08T09:59:10
250,Drop Lavender,SKU-100250,WH-A,1859,493,Backordered,2023-01-22T08:05:17
251,Later Pink,SKU-100251,WH-A,1526,369,Available,2023-07-03T04:53:57
252,Skill SaddleBrown,SKU-100252,WH-A,141,213,Low Stock,2023-12-12T00:18:51
253,Walk Snow,SKU-100253,Main Warehouse,18,25,Available,2024-08-09T06:36:47
254,Near MediumVioletRed,SKU-100254,WH-B,821,188,Low Stock,2024-11-13T20:24:09
255,Finally DarkBlue,SKU-100255,WH-C,1729,249,Backordered,2025-08-01T02:55:48
256,But Beige,SKU-100256,Main Warehouse,1768,294,Low Stock,2023-07-08T18:42:42
257,Staff Black,SKU-100257,WH-B,652,157,Low Stock,2025-03-14T01:01:36
258,If DarkBlue,SKU-100258,WH-C,1007,467,Available,2023-09-15T06:50:46
259,Suggest Violet,SKU-100259,WH-B,220,155,Discontinued,2023-11-07T20:07:39
260,Determine LemonChiffon,SKU-100260,Main Warehouse,1167,56,Backordered,2025-04-08T08:32:11
261,Garden Purple,SKU-100261,Main Warehouse,496,468,Discontinued,2025-08-28T19:56:23
262,Need ForestGreen,SKU-100262,Main Warehouse,1747,155,Low Stock,2024-06-05T16:00:20
263,Along GreenYellow,SKU-100263,WH-B,46,458,Low Stock,2023-02-04T13:33:03
264,Customer Lavender,SKU-100264,WH-A,1930,496,Discontinued,2024-10-05T18:06:59
265,Together DodgerBlue,SKU-100265,WH-B,1673,346,Discontinued,2024-05-27T13:16:26
266,Method LightYellow,SKU-100266,Main Warehouse,747,84,Low Stock,2022-12-20T03:19:09
267,Paper Azure,SKU-100267,WH-C,804,285,Backordered,2023-06-13T22:27:09
268,Include Ivory,SKU-100268,WH-C,1757,465,Low Stock,2025-03-02T03:22:40
269,Protect Aquamarine,SKU-100269,Main Warehouse,1371,75,Backordered,2022-11-13T13:46:38
270,Campaign DarkBlue,SKU-100270,WH-A,80,425,Available,2023-11-06T01:35:51
271,Meet Chartreuse,SKU-100271,WH-B,42,289,Discontinued,2025-03-21T20:25:08
272,Amount SlateGray,SKU-100272,WH-A,176,165,Discontinued,2025-04-16T22:07:28
273,Project Tomato,SKU-100273,WH-A,654,54,Available,2023-02-20T21:09:01
274,Painting Beige,SKU-100274,WH-C,573,116,Low Stock,2025-07-08T05:15:55
275,While Chartreuse,SKU-100275,Main Warehouse,1796,68,Discontinued,2023-04-28T15:23:03
276,Financial DeepPink,SKU-100276,WH-B,1494,39,Low Stock,2024-01-03T19:25:07
277,Trial LightBlue,SKU-100277,WH-B,655,470,Discontinued,2023-03-26T20:48:20
278,Know Indigo,SKU-100278,WH-B,781,316,Low Stock,2023-12-17T23:11:50
279,Appear DarkOrange,SKU-100279,WH-A,183,474,Available,2025-06-23T15:47:11
280,Task Silver,SKU-100280,WH-A,1479,29,Available,2023-12-15T15:36:33
281,Game DarkOrchid,SKU-100281,WH-B,135,293,Discontinued,2024-12-26T12:45:12
282,Him SeaGreen,SKU-100282,WH-A,1489,11,Backordered,2025-07-04T05:54:48
283,Far Linen,SKU-100283,WH-A,355,279,Low Stock,2025-01-26T20:49:13
284,Car DarkCyan,SKU-100284,WH-C,1431,497,Backordered,2023-11-28T23:06:37
285,Meet LightGreen,SKU-100285,WH-A,686,288,Low Stock,2024-12-22T11:42:21
286,Every Cyan,SKU-100286,WH-A,1273,388,Low Stock,2023-05-24T12:25:33
287,Defense Thistle,SKU-100287,WH-A,1891,144,Low Stock,2022-11-29T04:44:52
288,Face Gainsboro,SKU-100288,Main Warehouse,854,227,Available,2024-09-28T23:21:12
289,Computer BurlyWood,SKU-100289,WH-B,1577,223,Discontinued,2024-03-03T00:48:51
290,Activity Crimson,SKU-100290,WH-B,1093,479,Available,2025-07-17T03:28:23
291,Factor DarkSlateGray,SKU-100291,WH-A,287,80,Discontinued,2023-06-01T06:19:34
292,Draw Peru,SKU-100292,WH-A,714,446,Backordered,2023-04-12T07:09:27
293,However IndianRed,SKU-100293,Main Warehouse,1831,367,Backordered,2024-08-24T10:56:15
294,Far LightBlue,SKU-100294,Main Warehouse,1734,11,Backordered,2024-03-21T09:29:09
295,Building Navy,SKU-100295,WH-B,150,434,Available,2023-11-19T00:15:19
296,Know ForestGreen,SKU-100296,WH-A,714,358,Low Stock,2023-08-13T20:05:46
297,Bad DarkGreen,SKU-100297,WH-B,17,451,Discontinued,2024-03-10T21:12:20
298,Wait DodgerBlue,SKU-100298,Main Warehouse,1904,113,Discontinued,2025-07-28T02:28:21
299,Among Tan,SKU-100299,WH-C,285,58,Available,2025-07-29T14:55:13
300,Cost Salmon,SKU-100300,WH-C,286,351,Discontinued,2024-02-06T01:47:09
301,Strong Thistle,SKU-100301,WH-B,971,218,Backordered,2023-03-10T21:38:53
302,Your Chocolate,SKU-100302,WH-A,1551,382,Available,2024-01-10T13:06:19
