id,shipment_id,date,carrier,destination,status,created_at
57,SHP-1057,2021-08-11,Maersk,"West Crystalfort, Sao Tome and Principe",Delivered,2023-05-14T08:19:03
58,SHP-1058,2022-08-04,FedEx,"West Mollyhaven, Romania",Delivered,2025-02-04T19:33:36
59,SHP-1059,2021-05-22,Maersk,"Port Joshuaborough, Iran",In Transit,2023-08-14T17:55:27
60,SHP-1060,2021-10-10,DHL,"New Carlosfurt, Iceland",Pending,2024-11-02T20:44:14
61,SHP-1061,2021-09-17,FedEx,"Saratown, Egypt",Cancelled,2024-06-24T03:07:25
62,SHP-1062,2023-05-22,UPS,"Port Nicholasburgh, Finland",Cancelled,2024-08-02T11:31:16
63,SHP-1063,2020-12-13,UPS,"South Kristi, Rwanda",Pending,2024-05-29T05:56:59
64,SHP-1064,2025-03-24,Local Carrier,"North Jamesview, Vanuatu",Cancelled,2025-09-29T06:56:15
65,SHP-1065,2022-12-29,UPS,"Millsstad, Vanuatu",Cancelled,2024-05-03T08:07:06
66,SHP-1066,2024-10-25,Local Carrier,"North Joshuaberg, Central African Republic",Pending,2024-01-09T03:07:10
67,SHP-1067,2025-05-23,DHL,"South Deanna, Malta",Cancelled,2022-10-14T11:04:38
68,SHP-1068,2021-08-28,FedEx,"Jamesburgh, Barbados",Cancelled,2025-01-01T15:49:52
69,SHP-1069,2025-07-03,DHL,"North Mark, Guinea-Bissau",Delivered,2025-03-14T19:59:58
70,SHP-1070,2024-11-27,DHL,"Hansenland, Ecuador",Cancelled,2022-06-18T04:16:07
71,SHP-1071,2025-04-11,FedEx,"East Nicholas, Botswana",In Transit,2024-05-31T00:38:47
72,SHP-1072,2023-08-23,Local Carrier,"Robinsonberg, Comoros",Pending,2023-12-18T21:30:45
73,SHP-1073,2021-06-24,UPS,"West Robertview, Equatorial Guinea",Delivered,2025-01-20T01:27:17
74,SHP-1074,2023-03-01,Maersk,"Juarezfurt, Benin",Cancelled,2022-12-21T23:38:05
75,SHP-1075,2021-02-11,Local Carrier,"Lake Arthur, Tokelau",Cancelled,2023-07-28T10:39:30
76,SHP-1076,2024-07-30,DHL,"New Willie, Egypt",In Transit,2023-05-02T23:46:26
77,SHP-1077,2023-04-19,UPS,"South Sharon, Rwanda",Pending,2021-07-15T15:24:08
78,SHP-1078,2025-07-06,Maersk,"Scottchester, Latvia",Pending,2024-09-11T22:15:43
79,SHP-1079,2024-10-26,DHL,"Kennethfort, Canada",In Transit,2025-05-23T10:21:46
80,SHP-1080,2025-05-14,DHL,"Amyton, Eritrea",Pending,2024-12-23T03:05:41
81,SHP-1081,2023-05-10,UPS,"Wilsonberg, Georgia",In Transit,2025-06-22T20:36:04
82,SHP-1082,2022-06-13,UPS,"Rachelport, Turks and Caicos Islands",Cancelled,2023-10-11T14:10:02
83,SHP-1083,2022-03-19,FedEx,"North Brendaborough, Greece",In Transit,2024-12-13T11:10:32
84,SHP-1084,2025-03-10,UPS,"East Chaseton, Ireland",Delivered,2025-05-09T02:54:56
85,SHP-1085,2022-02-01,Local Carrier,"North Shane, Yemen",In Transit,2025-03-09T17:00:32
86,SHP-1086,2023-05-11,DHL,"Katherineberg, Bahrain",Cancelled,2023-12-23T04:08:21
87,SHP-1087,2022-07-02,Maersk,"Lorimouth, Cyprus",Cancelled,2023-01-06T00:41:07
88,SHP-1088,2023-10-12,DHL,"West Natalie, Montserrat",In Transit,2024-03-29T16:50:15
89,SHP-1089,2022-07-26,UPS,"West Markland, United States Minor Outlying Islands",Cancelled,2021-01-19T23:43:31
90,SHP-1090,2022-06-22,DHL,"Wheelerchester, China",Delivered,2023-04-12T02:58:12
91,SHP-1091,2024-05-08,Local Carrier,"Pughmouth, Sudan",In Transit,2025-11-02T12:28:42
92,SHP-1092,2021-03-23,DHL,"Rachelview, French Polynesia",Delivered,2023-10-24T19:22:24
93,SHP-1093,2024-07-18,Local Carrier,"New Jeffrey, Egypt",In Transit,2025-04-09T08:26:13
94,SHP-1094,2020-11-12,UPS,"Irwinshire, Ghana",Pending,2021-09-04T16:41:39
95,SHP-1095,2022-01-03,UPS,"Port Michael, Saint Pierre and Miquelon",Pending,2023-02-08T03:05:59
96,SHP-1096,2025-10-02,Local Carrier,"Mccormickton, Iceland",Pending,2022-11-18T11:34:26
97,SHP-1097,2023-06-09,UPS,"Novakborough, Netherlands",Delivered,2025-09-27T00:30:57
98,SHP-1098,2025-03-29,Local Carrier,"New Reginaberg, Slovenia",Delivered,2020-11-26T13:51:28
99,SHP-1099,2025-10-30,Local Carrier,"West Aprilshire, Bermuda",Pending,2024-11-30T10:06:58
100,SHP-1100,2022-08-15,FedEx,"Port Monicaborough, Iran",Cancelled,2023-08-15T03:03:52
101,SHP-1101,2021-04-16,Local Carrier,"West Albert, France",In Transit,2025-09-02T11:57:44
102,SHP-1102,2024-02-05,UPS,"New Michael, Macao",In Transit,2024-07-05T15:36:14
103,SHP-1103,2024-05-15,FedEx,"Michaeltown, United States Virgin Islands",Pending,2024-09-16T15:31:13
104,SHP-1104,2022-08-28,UPS,"Coopermouth, Jamaica",Pending,2021-01-17T11:23:23
105,SHP-1105,2022-09-19,UPS,"Port Jill, Equatorial Guinea",Pending,2023-09-11T20:13:05
106,SHP-1106,2024-03-11,Maersk,"Sheastad, Congo",Pending,2022-12-06T21:28:16
107,SHP-1107,2021-08-01,Local Carrier,"Lake Brendaberg, Nauru",Cancelled,2022-03-26T13:14:42
108,SHP-1108,2025-06-01,DHL,"Kimberlyberg, Armenia",In Transit,2025-08-08T13:22:37
109,SHP-1109,2021-09-15,FedEx,"North John, Thailand",In Transit,2023-11-08T19:51:01
110,SHP-1110,2022-08-21,DHL,"Murphyside, Martinique",In Transit,2025-09-10T21:12:08
111,SHP-1111,2020-11-12,Maersk,"Nathanberg, Bermuda",Cancelled,2020-12-02T00:40:11
112,SHP-1112,2021-11-13,FedEx,"Christophermouth, Nepal",Delivered,2021-01-23T00:43:08
113,SHP-1113,2025-02-01,Local Carrier,"Miguelstad, Saint Vincent and the Grenadines",Delivered,2020-12-16T05:39:51
114,SHP-1114,2024-10-22,FedEx,"Port Neilfort, Cuba",Cancelled,2025-01-06T22:14:11
115,SHP-1115,2021-05-29,Maersk,"East Charles, Timor-Leste",Cancelled,2020-11-27T05:54:50
116,SHP-1116,2022-10-20,UPS,"Sanchezchester, Northern Mariana Islands",Delivered,2021-10-31T02:10:55
117,SHP-1117,2021-02-05,DHL,"Lisabury, Senegal",Cancelled,2023-03-20T06:01:45
118,SHP-1118,2021-06-20,FedEx,"Haydenchester, Libyan Arab Jamahiriya",Cancelled,2023-08-28T07:43:13
119,SHP-1119,2023-11-17,Maersk,"South Jeremy, Croatia",Delivered,2022-01-29T16:18:29
120,SHP-1120,2022-09-23,Maersk,"Hardinside, Ghana",Pending,2024-06-29T13:59:46
121,SHP-1121,2024-06-22,DHL,"South Jenny, Lithuania",Pending,2021-02-13T00:31:47
122,SHP-1122,2023-12-01,Local Carrier,"New Derrickview, Spain",In Transit,2024-11-13T23:20:47
123,SHP-1123,2024-02-24,Maersk,"East Jason, Guatemala",Delivered,2021-01-06T00:27:55
124,SHP-1124,2024-05-09,UPS,"Edwardhaven, American Samoa",In Transit,2025-06-03T19:44:39
125,SHP-1125,2023-12-29,Maersk,"North Patrick, Slovakia (Slovak Republic)",In Transit,2024-08-13T14:55:27
126,SHP-1126,2022-05-22,Local Carrier,"Sherrybury, Ecuador",Pending,2022-11-04T17:09:02
127,SHP-1127,2025-07-27,DHL,"Port Lisahaven, Australia",In Transit,2025-05-02T12:41:50
128,SHP-1128,2022-11-05,DHL,"Rebekahfort, Saint Lucia",Delivered,2021-04-20T12:20:07
129,SHP-1129,2022-08-29,Local Carrier,"North Thomasside, United States of America",Pending,2023-11-02T00:58:51
130,SHP-1130,2021-12-23,DHL,"East Wayneview, Bhutan",Delivered,2024-11-19T12:48:20
131,SHP-1131,2022-08-13,UPS,"Peggyside, Burkina Faso",Pending,2020-11-22T22:04:16
132,SHP-1132,2022-02-21,Maersk,"Stephenstown, Niue",Pending,2025-08-16T21:09:54
133,SHP-1133,2024-07-22,FedEx,"East Emily, Serbia",Cancelled,2024-09-25T10:38:19
134,SHP-1134,2025-02-02,Local Carrier,"Richardsonmouth, Taiwan",In Transit,2025-01-01T22:21:27
135,SHP-1135,2022-01-21,DHL,"West Dakota, Norway",Cancelled,2023-09-11T00:43:04
136,SHP-1136,2024-02-12,FedEx,"Hartmanport, Iraq",Cancelled,2024-07-11T06:15:41
137,SHP-1137,2023-01-14,Maersk,"Smithfort, Tunisia",Pending,2021-01-03T21:23:58
138,SHP-1138,2024-02-11,Maersk,"North Joanna, Dominica",Pending,2024-02-23T23:46:44
139,SHP-1139,2021-01-29,DHL,"Lindseyland, Rwanda",Pending,2021-11-04T01:47:37
140,SHP-1140,2021-01-13,FedEx,"North Samantha, Kiribati",Pending,2023-06-21T07:44:16
141,SHP-1141,2025-04-06,UPS,"Christinafort, Svalbard & Jan Mayen Islands",Pending,2023-12-09T08:01:33
142,SHP-1142,2023-05-11,Maersk,"West Colinborough, Afghanistan",Cancelled,2022-09-28T12:54:38
143,SHP-1143,2022-11-29,Local Carrier,"Jillmouth, Bahrain",Pending,2021-07-09T11:06:51
144,SHP-1144,2023-05-12,UPS,"Kimberlymouth, Albania",Delivered,2022-11-15T23:16:44
145,SHP-1145,2022-07-03,DHL,"Dianaburgh, French Southern Territories",Cancelled,2023-03-26T13:41:49
146,SHP-1146,2025-04-11,UPS,"Philliptown, American Samoa",Cancelled,2021-06-06T07:15:12
147,SHP-1147,2023-04-30,FedEx,"New Kendramouth, Saint Lucia",Cancelled,2025-07-06T05:51:17
148,SHP-1148,2025-01-08,UPS,"West Scottshire, Taiwan",Delivered,2021-07-09T09:44:16
149,SHP-1149,2021-11-10,Maersk,"North Christy, Malta",In Transit,2022-12-18T03:23:18
150,SHP-1150,2021-04-15,DHL,"South Kari, Taiwan",In Transit,2021-12-16T12:20:54
151,SHP-1151,2022-01-26,Local Carrier,"Lake Joanna, Qatar",In Transit,2021-11-02T08:26:43
152,SHP-1152,2022-11-30,Local Carrier,"Scottburgh, South Georgia and the South Sandwich Islands",Delivered,2023-03-31T18:34:10
153,SHP-1153,2024-05-26,UPS,"Whitakermouth, Liechtenstein",Pending,2023-11-29T04:15:09
154,SHP-1154,2022-08-12,Local Carrier,"West Warrenton, Fiji",Pending,2021-11-18T10:12:52
155,SHP-1155,2023-03-26,UPS,"Bensonfort, Bahamas",Delivered,2021-09-19T09:26:01
156,SHP-1156,2020-11-17,FedEx,"Lake Davidton, Tonga",Pending,2022-11-20T16:08:01
157,SHP-1157,2023-11-17,DHL,"New Matthewfort, Mauritania",Cancelled,2024-10-31T17:23:16
158,SHP-1158,2023-12-02,FedEx,"West Jamesville, Gambia",Delivered,2025-08-09T04:12:38
159,SHP-1159,2025-03-17,FedEx,"Ronnieburgh, Liechtenstein",Cancelled,2024-05-22T08:43:01
160,SHP-1160,2021-05-11,UPS,"Port Vanessaberg, Argentina",Cancelled,2024-02-21T15:15:08
161,SHP-1161,2023-10-23,DHL,"New Jerry, Kenya",In Transit,2022-04-29T06:03:49
162,SHP-1162,2023-06-27,DHL,"West Sara, Pakistan",In Transit,2024-05-12T22:26:47
163,SHP-1163,2022-06-02,Local Carrier,"Ericside, Kuwait",In Transit,2023-06-21T09:17:23
164,SHP-1164,2024-11-04,Local Carrier,"Tannerstad, Iceland",In Transit,2024-07-13T00:32:00
165,SHP-1165,2025-05-13,FedEx,"West Robertland, Sierra Leone",Pending,2024-08-24T12:45:10
166,SHP-1166,2020-11-23,UPS,"Angelamouth, French Southern Territories",Cancelled,2022-08-29T13:25:02
167,SHP-1167,2023-12-14,Local Carrier,"North Jeanstad, Malta",In Transit,2024-12-01T14:48:10
168,SHP-1168,2021-10-15,FedEx,"Andersonmouth, Ukraine",In Transit,2022-03-12T20:56:51
169,SHP-1169,2020-11-19,UPS,"Ericstad, Mayotte",Pending,2023-03-12T20:42:31
170,SHP-1170,2023-12-07,Maersk,"North Stacey, French Polynesia",Pending,2025-10-27T23:00:25
171,SHP-1171,2024-11-27,DHL,"Snyderberg, Ukraine",Pending,2024-05-28T12:23:14
172,SHP-1172,2022-07-20,FedEx,"Port Tina, Tonga",Delivered,2021-07-19T09:53:14
173,SHP-1173,2025-09-12,UPS,"Smithbury, Greece",Pending,2023-02-15T10:10:02
174,SHP-1174,2021-07-16,FedEx,"Wileyberg, Lao People's Democratic Republic",Delivered,2022-06-08T14:38:35
175,SHP-1175,2021-10-13,FedEx,"West Katelynside, Angola",Cancelled,2022-10-04T04:58:29
176,SHP-1176,2023-01-16,FedEx,"North Andreastad, Saudi Arabia",Cancelled,2022-04-07T11:03:51
177,SHP-1177,2025-09-17,UPS,"Richardsport, Guadeloupe",Cancelled,2023-12-23T08:04:44
178,SHP-1178,2021-04-09,Local Carrier,"Steeleside, Uruguay",In Transit,2025-05-04T17:32:13
179,SHP-1179,2022-12-02,FedEx,"Connerborough, Algeria",In Transit,2025-08-07T02:00:59
180,SHP-1180,2023-07-14,FedEx,"North Yeseniafort, United States Minor Outlying Islands",Cancelled,2025-03-25T03:13:06
181,SHP-1181,2020-11-02,UPS,"Nancyville, Falkland Islands (Malvinas)",Cancelled,2023-09-15T18:07:11
182,SHP-1182,2023-06-05,UPS,"Michaelstad, Argentina",Cancelled,2021-08-02T05:49:19
183,SHP-1183,2024-10-05,Local Carrier,"East Nathanbury, Martinique",In Transit,2025-08-10T13:00:35
184,SHP-1184,2023-08-29,DHL,"Garciaburgh, Aruba",Pending,2022-09-10T10:42:43
185,SHP-1185,2024-09-02,Maersk,"Leemouth, Zimbabwe",Delivered,2021-02-15T15:32:59
186,SHP-1186,2022-11-30,DHL,"Lawsonchester, Cote d'Ivoire",Cancelled,2023-01-12T14:31:14
187,SHP-1187,2024-07-25,DHL,"South Diamond, Fiji",Pending,2022-05-14T19:39:37
188,SHP-1188,2025-10-27,DHL,"Alexanderchester, Sao Tome and Principe",In Transit,2025-05-31T11:22:11
189,SHP-1189,2021-01-04,Local Carrier,"Beanfurt, Nicaragua",In Transit,2025-04-05T16:31:09
190,SHP-1190,2025-07-15,DHL,"Port Brandytown, Mauritius",Cancelled,2025-06-18T16:27:10
191,SHP-1191,2023-06-10,DHL,"Danielstad, Croatia",In Transit,2024-08-18T02:33:31
192,SHP-1192,2023-02-04,UPS,"North Michellemouth, Indonesia",Cancelled,2023-11-28T01:29:07
193,SHP-1193,2025-08-09,UPS,"West Darren, Oman",Pending,2024-04-27T15:33:52
194,SHP-1194,2022-09-03,Local Carrier,"Emilyshire, Slovakia (Slovak Republic)",In Transit,2021-10-27T17:25:47
195,SHP-1195,2022-01-25,DHL,"New Angelafort, Isle of Man",Delivered,2023-03-02T12:44:11
196,SHP-1196,2021-07-25,DHL,"West Donna, Bouvet Island (Bouvetoya)",Cancelled,2023-10-15T23:30:34
197,SHP-1197,2021-08-08,UPS,"Sandrahaven, Bangladesh",Pending,2021-09-30T06:58:34
198,SHP-1198,2023-04-13,FedEx,"Port Kevin, Vietnam",Pending,2025-05-27T21:12:29
199,SHP-1199,2023-04-17,Local Carrier,"Zacharyside, Saudi Arabia",Delivered,2025-05-01T05:25:18
200,SHP-1200,2024-06-10,Maersk,"Harriston, Czech Republic",Pending,2024-09-01T19:54:00
201,SHP-1201,2022-04-22,FedEx,"North Amanda, Algeria",Delivered,2022-12-02T06:52:29
202,SHP-1202,2022-03-02,Local Carrier,"Port James, Peru",Cancelled,2025-01-05T16:52:38
203,SHP-1203,2021-05-31,UPS,"Dylanside, Kazakhstan",Cancelled,2024-08-17T02:03:45
204,SHP-1204,2023-04-22,Local Carrier,"South Jasonshire, Albania",In Transit,2022-01-28T23:28:27
205,SHP-1205,2024-10-05,DHL,"New Barbara, Grenada",Cancelled,2023-12-31T01:12:52
206,SHP-1206,2025-02-18,Maersk,"Josephland, Burkina Faso",In Transit,2021-06-14T07:56:21
207,SHP-1207,2021-03-24,FedEx,"South Dianachester, Malaysia",Pending,2025-02-02T12:51:41
208,SHP-1208,2024-02-23,FedEx,"Robinfort, Togo",Delivered,2022-11-09T18:36:26
209,SHP-1209,2025-08-20,UPS,"New Tonyaport, Svalbard & Jan Mayen Islands",In Transit,2023-07-25T11:29:49
210,SHP-1210,2024-07-15,FedEx,"Shannonmouth, Samoa",In Transit,2023-02-08T05:44:54
211,SHP-1211,2022-12-13,Maersk,"North William, Norway",In Transit,2024-06-15T13:44:43
212,SHP-1212,2021-01-14,Maersk,"Nancyborough, Cape Verde",Delivered,2023-06-25T02:04:20
213,SHP-1213,2023-08-26,FedEx,"Lake Randall, Equatorial Guinea",Cancelled,2025-05-10T04:03:54
214,SHP-1214,2020-11-06,Local Carrier,"Juanbury, Guinea",In Transit,2021-07-27T14:06:02
215,SHP-1215,2023-08-22,Maersk,"North Rachaelville, South Africa",Cancelled,2022-07-18T20:59:48
216,SHP-1216,2022-03-27,Local Carrier,"Chenberg, Mauritania",Cancelled,2022-05-18T19:19:07
217,SHP-1217,2023-11-17,DHL,"East Michaelfort, China",Delivered,2025-05-06T13:04:58
218,SHP-1218,2022-07-15,Maersk,"West Tyler, Sri Lanka",Cancelled,2023-02-12T03:25:34
219,SHP-1219,2022-05-24,UPS,"Amandaville, Guernsey",Delivered,2021-09-06T20:19:19
220,SHP-1220,2024-06-23,Maersk,"South Charlesside, Cyprus",Delivered,2025-08-25T12:31:53
221,SHP-1221,2024-11-03,Maersk,"West Gregoryside, Sierra Leone",Pending,2020-12-10T01:12:00
222,SHP-1222,2023-07-18,Local Carrier,"Gonzalezfurt, Cape Verde",In Transit,2024-06-01T11:16:38
223,SHP-1223,2023-08-07,Local Carrier,"Mariashire, Brunei Darussalam",Pending,2022-10-25T05:19:36
224,SHP-1224,2025-02-19,Local Carrier,"East Samuelton, French Guiana",Delivered,2025-04-23T12:29:08
225,SHP-1225,2023-05-03,DHL,"Nancyfort, Mayotte",In Transit,2025-09-08T05:32:25
226,SHP-1226,2023-11-19,DHL,"Edwardberg, Romania",Delivered,2023-10-24T14:37:51
227,SHP-1227,2024-02-02,Local Carrier,"Port Michelleside, Armenia",In Transit,2024-11-12T03:54:24
228,SHP-1228,2025-10-15,Maersk,"Taylorchester, Paraguay",In Transit,2025-03-05T03:06:40
229,SHP-1229,2025-08-27,Local Carrier,"Katherineport, Sri Lanka",In Transit,2025-01-04T07:53:22
230,SHP-1230,2023-04-12,FedEx,"Lopezshire, Argentina",Cancelled,2025-05-18T03:57:21
231,SHP-1231,2021-12-02,Maersk,"North Daniel, Kenya",In Transit,2021-04-30T17:59:18
232,SHP-1232,2022-03-18,Maersk,"Hayesmouth, Jordan",Cancelled,2021-10-23T01:36:08
233,SHP-1233,2021-05-09,Local Carrier,"South Mathew, Canada",Delivered,2021-02-11T17:10:55
234,SHP-1234,2023-04-08,FedEx,"East Amber, Venezuela",In Transit,2025-01-29T08:05:37
235,SHP-1235,2025-10-09,Local Carrier,"Lake Jenniferville, Tuvalu",In Transit,2024-12-05T03:24:33
236,SHP-1236,2024-10-03,Maersk,"New Nicoleport, Belize",Delivered,2022-11-27T10:37:17
237,SHP-1237,2025-09-03,UPS,"Richardhaven, Iraq",Pending,2024-10-01T01:31:41
238,SHP-1238,2023-10-20,Maersk,"South Isaiah, Angola",Delivered,2025-04-06T17:54:05
239,SHP-1239,2025-02-05,Local Carrier,"Johnsonstad, Senegal",Cancelled,2024-05-13T08:51:57
240,SHP-1240,2021-08-13,UPS,"Williamsmouth, Myanmar",Cancelled,2021-10-04T05:52:29
241,SHP-1241,2024-12-30,Local Carrier,"West Ebony, Slovenia",Delivered,2024-02-18T17:23:31
242,SHP-1242,2021-12-11,Maersk,"New Jennifer, Portugal",Cancelled,2025-10-20T09:18:00
243,SHP-1243,2023-05-17,UPS,"Port Gabrielle, Mexico",In Transit,2023-03-06T10:44:14
244,SHP-1244,2021-04-23,Local Carrier,"Danielfurt, Uruguay",Pending,2025-06-08T22:17:44
245,SHP-1245,2023-06-21,UPS,"West Erica, Luxembourg",Pending,2024-03-02T17:28:44
246,SHP-1246,2024-05-03,Local Carrier,"New Katelyn, Pakistan",Pending,2025-07-23T03:17:04
247,SHP-1247,2024-10-29,Local Carrier,"West Davidfurt, Cape Verde",Delivered,2024-06-04T09:46:49
248,SHP-1248,2024-01-28,Local Carrier,"Port Ryanchester, Finland",Cancelled,2022-07-12T11:49:58
249,SHP-1249,2021-02-09,Local Carrier,"Port Mauriceberg, Czech Republic",Pending,2022-09-09T19:38:07
250,SHP-1250,2022-07-20,UPS,"Jarvisstad, Egypt",In Transit,2024-10-02T19:02:01
251,SHP-1251,2024-12-14,Maersk,"West Nicolechester, Saint Martin",Delivered,2022-04-26T02:11:57
252,SHP-1252,2025-10-30,Maersk,"Port Toddborough, Albania",In Transit,2023-10-30T02:43:41
253,SHP-1253,2022-05-28,Local Carrier,"North Roy, Uruguay",Pending,2025-07-03T22:45:06
254,SHP-1254,2025-10-05,Local Carrier,"Rhondaberg, South Africa",Cancelled,2024-08-31T09:48:07
255,SHP-1255,2024-10-03,Maersk,"Paulmouth, Falkland Islands (Malvinas)",Pending,2024-06-02T08:02:03
256,SHP-1256,2024-03-24,DHL,"Albertport, Congo",In Transit,2021-12-16T13:03:40
257,SHP-1257,2022-08-22,FedEx,"Fitzpatrickburgh, Equatorial Guinea",Pending,2023-12-17T16:44:11
258,SHP-1258,2024-09-13,UPS,"Brandyshire, Burkina Faso",Delivered,2020-11-23T20:36:25
259,SHP-1259,2021-12-24,FedEx,"Rodriguezview, Philippines",In Transit,2025-05-03T03:37:53
