id,name,payload,created_at
32,Forecast 32,"{""forecast_id"": ""FCAST-32"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [40373.96, 1599.0, 16632.26, 29159.43, 19815.52, 23279.91]}], ""meta"": {""created_by"": ""Pamela Perry"", ""notes"": ""Cost than interesting response.""}}",2024-10-16T10:51:14
33,Forecast 33,"{""forecast_id"": ""FCAST-33"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [24820.83, 48036.13, 20683.47, 38796.62, 15844.77, 13673.8]}], ""meta"": {""created_by"": ""Frank Vega"", ""notes"": ""Future end professor him himself standard.""}}",2023-12-01T08:39:14
34,Forecast 34,"{""forecast_id"": ""FCAST-34"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [32071.74, 30578.17, 40318.5, 23063.23, 19268.44, 24203.82]}], ""meta"": {""created_by"": ""Jeffrey Cooper"", ""notes"": ""Card help exist long never ability camera.""}}",2023-11-11T11:03:06
35,Forecast 35,"{""forecast_id"": ""FCAST-35"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [17418.11, 27216.18, 18878.23, 39489.24, 49055.99, 27053.87]}], ""meta"": {""created_by"": ""Mr. Bobby Evans"", ""notes"": ""Citizen food boy trade religious mention.""}}",2025-03-26T10:50:04
36,Forecast 36,"{""forecast_id"": ""FCAST-36"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [19790.12, 34061.23, 8368.97, 17518.67, 46774.68, 29917.5]}], ""meta"": {""created_by"": ""Carolyn Dillon"", ""notes"": ""Financial game brother should five test Congress.""}}",2024-10-12T15:48:00
37,Forecast 37,"{""forecast_id"": ""FCAST-37"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [10683.04, 40828.92, 36653.81, 23294.48, 3378.64, 14803.98]}], ""meta"": {""created_by"": ""Ryan Roy"", ""notes"": ""Girl return its may.""}}",2024-12-31T21:50:03
38,Forecast 38,"{""forecast_id"": ""FCAST-38"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [6956.02, 24991.45, 18988.1, 44569.13, 34632.99, 13364.01]}], ""meta"": {""created_by"": ""Reginald Ward"", ""notes"": ""Green concern goal cause go.""}}",2025-04-03T01:41:25
39,Forecast 39,"{""forecast_id"": ""FCAST-39"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [17535.63, 15511.08, 41139.3, 27594.68, 9757.68, 18487.38]}], ""meta"": {""created_by"": ""Diane Walker"", ""notes"": ""Particular respond listen newspaper.""}}",2025-09-17T13:01:03
40,Forecast 40,"{""forecast_id"": ""FCAST-40"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [1858.43, 16906.99, 32163.15, 30193.17, 18504.98, 2794.01]}], ""meta"": {""created_by"": ""Erik Barrett"", ""notes"": ""East may vote fine method more.""}}",2025-07-18T20:55:25
41,Forecast 41,"{""forecast_id"": ""FCAST-41"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [37195.33, 13182.71, 5118.3, 5634.06, 36612.58, 32013.08]}], ""meta"": {""created_by"": ""Marvin Smith"", ""notes"": ""Meet including instead when leave effect could fly.""}}",2025-01-16T03:28:14
42,Forecast 42,"{""forecast_id"": ""FCAST-42"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [22123.93, 14460.12, 48620.79, 34760.61, 12960.93, 41453.0]}], ""meta"": {""created_by"": ""James Hernandez"", ""notes"": ""Avoid factor the mouth assume.""}}",2024-03-21T04:51:28
43,Forecast 43,"{""forecast_id"": ""FCAST-43"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [41910.98, 36901.7, 26654.38, 23462.56, 4750.27, 19266.97]}], ""meta"": {""created_by"": ""Wesley Black"", ""notes"": ""Safe require car maybe particular.""}}",2025-09-25T07:11:45
44,Forecast 44,"{""forecast_id"": ""FCAST-44"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [8190.77, 48865.32, 32252.91, 44219.81, 19713.74, 49033.06]}], ""meta"": {""created_by"": ""Cindy Ortiz"", ""notes"": ""Number home test bed first.""}}",2025-08-20T02:10:04
45,Forecast 45,"{""forecast_id"": ""FCAST-45"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [4859.48, 46444.59, 37714.08, 21703.97, 2096.79, 47567.59]}], ""meta"": {""created_by"": ""Melissa Miller"", ""notes"": ""Water card argue international research deep.""}}",2024-09-10T10:45:56
46,Forecast 46,"{""forecast_id"": ""FCAST-46"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [13586.04, 32991.88, 44263.34, 42005.81, 22238.33, 6704.85]}], ""meta"": {""created_by"": ""Jennifer Sullivan"", ""notes"": ""Tree future various treat.""}}",2025-05-20T20:09:39
47,Forecast 47,"{""forecast_id"": ""FCAST-47"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [10390.54, 13787.81, 15856.87, 26187.94, 42857.94, 12943.87]}], ""meta"": {""created_by"": ""Haley Drake"", ""notes"": ""Discussion east wrong rise oil night.""}}",2025-06-10T21:09:49
48,Forecast 48,"{""forecast_id"": ""FCAST-48"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [40148.75, 19337.58, 24173.0, 38275.23, 22410.34, 37596.62]}], ""meta"": {""created_by"": ""Zachary Johnson"", ""notes"": ""Natural whether beat out live want natural change.""}}",2023-11-21T03:40:13
49,Forecast 49,"{""forecast_id"": ""FCAST-49"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [39137.14, 14565.84, 33900.54, 30626.51, 45577.57, 34232.2]}], ""meta"": {""created_by"": ""Dwayne Peterson"", ""notes"": ""Maybe answer whether go then quite Congress husband.""}}",2025-10-16T12:23:02
50,Forecast 50,"{""forecast_id"": ""FCAST-50"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [14361.29, 20951.96, 1917.23, 21301.92, 7358.58, 14085.61]}], ""meta"": {""created_by"": ""Amy Guerrero"", ""notes"": ""Get outside back brother.""}}",2025-02-08T19:21:12
51,Forecast 51,"{""forecast_id"": ""FCAST-51"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [30354.89, 48818.98, 16589.81, 11844.86, 1885.57, 16905.83]}], ""meta"": {""created_by"": ""Julie Olson"", ""notes"": ""Then pressure wide hear.""}}",2024-10-13T23:48:00
52,Forecast 52,"{""forecast_id"": ""FCAST-52"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [4122.4, 15103.73, 35889.65, 41521.77, 29807.79, 32103.86]}], ""meta"": {""created_by"": ""Scott Larsen"", ""notes"": ""Be grow level vote music.""}}",2023-11-13T05:30:10
53,Forecast 53,"{""forecast_id"": ""FCAST-53"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [17108.85, 20062.94, 46563.76, 1615.79, 17689.2, 17971.95]}], ""meta"": {""created_by"": ""Janet Miller"", ""notes"": ""More your send project particularly.""}}",2024-04-27T19:19:22
54,Forecast 54,"{""forecast_id"": ""FCAST-54"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [22774.77, 23635.43, 37385.99, 11321.23, 35188.54, 33976.31]}], ""meta"": {""created_by"": ""Jason Duke"", ""notes"": ""East kind nearly between.""}}",2024-05-21T03:59:01
55,Forecast 55,"{""forecast_id"": ""FCAST-55"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [13528.94, 2581.06, 42762.29, 48418.46, 31937.82, 28504.96]}], ""meta"": {""created_by"": ""Vincent Byrd"", ""notes"": ""Story team argue.""}}",2025-07-10T10:41:36
56,Forecast 56,"{""forecast_id"": ""FCAST-56"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [17919.66, 11170.01, 49258.56, 19090.38, 15299.33, 16451.57]}], ""meta"": {""created_by"": ""David Lynn"", ""notes"": ""Action appear soldier star throw.""}}",2024-08-28T18:52:49
57,Forecast 57,"{""forecast_id"": ""FCAST-57"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [34050.57, 2448.66, 31618.27, 9169.98, 18229.69, 22145.01]}], ""meta"": {""created_by"": ""Justin Carter"", ""notes"": ""Where hair bag a between ever our.""}}",2025-09-29T21:16:52
58,Forecast 58,"{""forecast_id"": ""FCAST-58"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [49795.47, 2147.01, 48694.5, 28265.53, 25047.09, 12501.21]}], ""meta"": {""created_by"": ""Jose Ford"", ""notes"": ""Me list agree stop else area join.""}}",2024-10-14T01:43:39
59,Forecast 59,"{""forecast_id"": ""FCAST-59"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [46137.64, 7453.17, 30748.97, 42633.74, 5752.01, 11696.96]}], ""meta"": {""created_by"": ""Ryan Johnson"", ""notes"": ""Source public less him.""}}",2024-08-19T10:40:34
60,Forecast 60,"{""forecast_id"": ""FCAST-60"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [49614.41, 28966.51, 9752.5, 8796.76, 39098.71, 36988.57]}], ""meta"": {""created_by"": ""Susan Morris"", ""notes"": ""Present but level example different.""}}",2024-04-02T04:39:43
61,Forecast 61,"{""forecast_id"": ""FCAST-61"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [20654.71, 21017.29, 37812.77, 21490.82, 30363.18, 16650.77]}], ""meta"": {""created_by"": ""Carrie Smith"", ""notes"": ""Risk all to middle.""}}",2024-01-27T12:13:51
62,Forecast 62,"{""forecast_id"": ""FCAST-62"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [18795.56, 6176.3, 44353.14, 48051.73, 38325.9, 16570.98]}], ""meta"": {""created_by"": ""Mrs. Stephanie Lopez"", ""notes"": ""Under onto interview general deal.""}}",2025-08-16T13:36:17
63,Forecast 63,"{""forecast_id"": ""FCAST-63"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [27245.73, 20216.49, 43093.77, 25246.83, 23731.78, 41480.78]}], ""meta"": {""created_by"": ""Shelby Elliott"", ""notes"": ""Feel mention man follow.""}}",2025-07-16T09:14:55
64,Forecast 64,"{""forecast_id"": ""FCAST-64"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [23023.34, 46271.62, 9703.7, 15131.98, 27100.62, 17368.69]}], ""meta"": {""created_by"": ""Tracy Williamson"", ""notes"": ""Still both indeed drop skill executive share.""}}",2025-10-23T12:11:23
65,Forecast 65,"{""forecast_id"": ""FCAST-65"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [23737.05, 9441.26, 45456.76, 19784.32, 33002.11, 48738.12]}], ""meta"": {""created_by"": ""Derek Woods"", ""notes"": ""All cost new imagine hundred.""}}",2025-04-15T10:06:21
66,Forecast 66,"{""forecast_id"": ""FCAST-66"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [21104.4, 32184.43, 31324.92, 7790.03, 31376.09, 49946.58]}], ""meta"": {""created_by"": ""Juan Watkins"", ""notes"": ""On black since fast.""}}",2025-07-15T09:25:45
67,Forecast 67,"{""forecast_id"": ""FCAST-67"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [30378.84, 36875.25, 47328.96, 16926.0, 13247.1, 28896.0]}], ""meta"": {""created_by"": ""Norman Smith"", ""notes"": ""Cell rock foreign tonight around amount.""}}",2025-08-14T18:17:34
68,Forecast 68,"{""forecast_id"": ""FCAST-68"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [24123.76, 5457.36, 19144.5, 37405.3, 44292.11, 33051.69]}], ""meta"": {""created_by"": ""Amber Ross"", ""notes"": ""Tend still recently marriage eat.""}}",2024-01-15T22:15:17
69,Forecast 69,"{""forecast_id"": ""FCAST-69"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [28050.81, 43308.48, 42665.14, 8907.58, 19084.15, 43857.86]}], ""meta"": {""created_by"": ""Grace Johnson"", ""notes"": ""Well while real side think line clearly various.""}}",2024-08-24T12:06:39
70,Forecast 70,"{""forecast_id"": ""FCAST-70"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [9585.34, 46919.9, 46147.9, 16813.49, 15356.11, 44827.84]}], ""meta"": {""created_by"": ""Andrea Garcia"", ""notes"": ""Face education recognize.""}}",2024-10-18T19:50:42
71,Forecast 71,"{""forecast_id"": ""FCAST-71"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [11143.36, 23597.8, 13007.3, 30559.2, 49495.95, 40040.92]}], ""meta"": {""created_by"": ""Laurie Gutierrez"", ""notes"": ""Customer way student rule base right.""}}",2023-11-10T20:21:36
72,Forecast 72,"{""forecast_id"": ""FCAST-72"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [48667.46, 25510.53, 6446.71, 30596.33, 17231.7, 46087.63]}], ""meta"": {""created_by"": ""Anthony Collier"", ""notes"": ""Treatment Democrat tonight ask population oil health.""}}",2024-10-09T11:18:30
73,Forecast 73,"{""forecast_id"": ""FCAST-73"", ""series"": [{""x"": [""2025-01"", ""2025-02"", ""2025-03"", ""2025-04"", ""2025-05"", ""2025-06""], ""y"": [8804.06, 23648.4, 48161.23, 1337.28, 2583.81, 34166.75]}], ""meta"": {""created_by"": ""John Harper"", ""notes"": ""Door full determine each kitchen.""}}",2024-04-28T22:55:42
