id,order_id,customer_id,date,amount,status,created_at
47,SO-20250047,1861,2024-04-13,33354.98,Shipped,2022-10-07T01:30:51
48,SO-20250048,303,2020-11-07,35812.39,Shipped,2023-01-24T20:48:06
49,SO-20250049,758,2021-01-24,19336.33,Pending,2024-10-09T06:51:33
50,SO-20250050,583,2023-04-21,17278.76,Cancelled,2021-09-23T08:31:24
51,SO-20250051,913,2025-02-12,43721.37,Pending,2025-02-04T19:23:03
52,SO-20250052,442,2025-02-17,36406.28,Shipped,2025-04-19T05:08:00
53,SO-20250053,1519,2024-03-16,49630.23,Shipped,2024-04-11T13:49:14
54,SO-20250054,592,2022-11-12,8231.33,Shipped,2021-09-12T00:54:19
55,SO-20250055,1493,2025-04-30,44826.62,Completed,2022-07-29T17:10:13
56,SO-20250056,1712,2024-03-01,29379.64,Pending,2024-11-18T03:36:38
57,SO-20250057,295,2023-04-27,10428.80,Shipped,2024-04-29T16:24:23
58,SO-20250058,1777,2022-07-20,26288.79,Cancelled,2022-11-25T17:49:52
59,SO-20250059,136,2021-04-10,46660.99,Shipped,2022-12-08T03:17:43
60,SO-20250060,182,2023-04-30,380.61,Cancelled,2023-02-21T19:00:18
61,SO-20250061,849,2024-02-17,8785.91,Shipped,2024-10-10T10:46:56
62,SO-20250062,1455,2021-03-09,28417.42,Completed,2021-12-18T11:51:25
63,SO-20250063,409,2024-12-27,9341.02,Shipped,2024-01-20T10:01:33
64,SO-20250064,593,2025-07-25,27715.65,Pending,2020-12-02T09:33:47
65,SO-20250065,1686,2024-05-14,41321.10,Cancelled,2024-10-29T15:47:09
66,SO-20250066,1012,2021-02-15,27986.09,Shipped,2023-01-28T17:04:40
67,SO-20250067,460,2025-08-04,1390.66,Pending,2021-03-31T20:53:22
68,SO-20250068,316,2022-07-03,13170.72,Shipped,2025-05-22T14:31:36
69,SO-20250069,255,2022-08-07,32707.96,Cancelled,2023-04-27T03:48:19
70,SO-20250070,855,2022-06-11,9009.65,Completed,2020-12-14T14:07:33
71,SO-20250071,59,2024-07-11,6011.77,Cancelled,2021-02-04T13:40:11
72,SO-20250072,1010,2022-12-10,49716.93,Pending,2023-07-14T07:57:09
73,SO-20250073,1227,2023-11-08,37291.00,Shipped,2024-01-20T14:26:58
74,SO-20250074,1159,2023-02-08,21831.62,Cancelled,2021-06-29T10:35:47
75,SO-20250075,1287,2024-02-13,34311.35,Pending,2024-08-31T22:42:24
76,SO-20250076,765,2022-05-30,25650.67,Pending,2021-04-10T16:24:20
77,SO-20250077,1732,2020-11-25,13013.88,Pending,2024-07-12T04:22:58
78,SO-20250078,300,2025-08-17,16018.07,Completed,2021-11-07T11:22:00
79,SO-20250079,732,2022-02-03,8207.28,Cancelled,2022-04-14T05:56:57
80,SO-20250080,740,2021-09-16,21004.72,Cancelled,2025-08-08T14:58:51
81,SO-20250081,100,2025-04-19,14528.32,Pending,2021-01-01T05:34:29
82,SO-20250082,1053,2022-08-24,9731.05,Completed,2022-01-23T22:01:49
83,SO-20250083,1567,2024-07-18,4770.71,Completed,2022-09-09T05:35:51
84,SO-20250084,1114,2021-05-17,16164.21,Cancelled,2020-12-17T12:18:25
85,SO-20250085,1694,2021-07-21,42257.49,Cancelled,2022-12-16T10:01:29
86,SO-20250086,556,2025-03-01,34287.91,Cancelled,2025-08-03T18:59:53
87,SO-20250087,197,2021-04-02,26744.30,Cancelled,2025-08-09T16:13:35
88,SO-20250088,1687,2024-04-22,7228.69,Completed,2022-03-17T02:14:04
89,SO-20250089,1062,2024-01-16,14106.82,Shipped,2024-04-26T13:21:24
90,SO-20250090,844,2022-04-17,17048.64,Completed,2022-02-07T09:50:53
91,SO-20250091,210,2022-06-28,10932.92,Completed,2021-11-01T14:31:41
92,SO-20250092,1704,2025-09-10,9461.42,Pending,2021-09-23T17:51:05
93,SO-20250093,855,2022-03-26,23051.54,Pending,2022-05-10T11:06:55
94,SO-20250094,239,2024-04-01,40951.29,Pending,2024-05-31T04:26:28
95,SO-20250095,983,2024-08-05,17443.09,Cancelled,2023-11-05T04:41:30
96,SO-20250096,285,2024-01-06,40861.08,Cancelled,2023-10-07T06:01:22
97,SO-20250097,353,2022-09-21,35509.25,Pending,2025-06-11T04:21:45
98,SO-20250098,1525,2022-06-30,40737.98,Completed,2024-11-08T15:42:23
99,SO-20250099,264,2022-08-08,42847.92,Completed,2023-07-28T22:55:46
100,SO-20250100,1410,2024-11-20,11367.39,Completed,2025-02-26T18:53:35
101,SO-20250101,430,2025-01-12,6554.40,Pending,2022-11-08T07:05:36
102,SO-20250102,871,2023-05-19,34556.37,Pending,2024-03-24T06:11:33
103,SO-20250103,160,2025-05-16,989.38,Shipped,2022-11-14T14:40:42
104,SO-20250104,1552,2021-08-31,21590.81,Completed,2025-07-14T06:59:32
105,SO-20250105,221,2023-09-28,1688.00,Pending,2022-01-04T15:40:17
106,SO-20250106,961,2021-10-20,5990.16,Cancelled,2023-01-04T07:17:45
107,SO-20250107,89,2024-09-14,3359.06,Pending,2025-08-27T01:51:33
108,SO-20250108,1546,2023-07-04,4870.35,Pending,2025-10-02T18:56:44
109,SO-20250109,1885,2022-07-07,30109.51,Completed,2025-06-29T03:58:50
110,SO-20250110,379,2024-05-29,33546.50,Pending,2022-08-23T07:27:13
111,SO-20250111,186,2025-07-20,7320.57,Cancelled,2022-08-04T08:48:31
112,SO-20250112,1944,2021-02-20,29008.58,Cancelled,2022-12-02T09:51:05
113,SO-20250113,329,2025-07-25,42764.15,Completed,2023-12-23T14:39:44
114,SO-20250114,1035,2023-01-21,28533.26,Pending,2024-09-15T08:42:25
115,SO-20250115,1679,2022-02-24,28927.78,Pending,2025-03-28T13:24:19
116,SO-20250116,1084,2025-09-21,10889.05,Completed,2024-01-09T16:46:02
117,SO-20250117,1975,2022-12-23,14128.75,Pending,2022-01-05T23:04:36
118,SO-20250118,1994,2021-11-02,36281.20,Completed,2021-11-23T07:40:59
119,SO-20250119,1886,2023-02-19,25234.55,Shipped,2023-10-06T02:03:01
120,SO-20250120,751,2025-03-17,34921.74,Completed,2023-10-13T08:32:09
121,SO-20250121,901,2024-01-17,33692.61,Pending,2021-11-10T11:18:58
122,SO-20250122,371,2025-08-18,41745.37,Shipped,2024-12-16T20:06:53
123,SO-20250123,869,2025-03-06,10752.99,Completed,2021-01-23T21:40:10
124,SO-20250124,835,2023-05-02,5686.63,Cancelled,2025-08-04T09:51:00
125,SO-20250125,254,2021-09-03,23321.79,Completed,2025-02-10T14:32:26
126,SO-20250126,1016,2020-12-02,38125.57,Cancelled,2022-02-28T21:33:48
127,SO-20250127,1142,2021-03-02,36120.72,Pending,2021-08-29T19:14:58
128,SO-20250128,672,2025-04-22,24710.95,Shipped,2021-07-09T22:53:25
129,SO-20250129,581,2025-05-14,22874.44,Cancelled,2021-07-21T09:02:14
130,SO-20250130,1408,2022-12-31,48810.14,Shipped,2021-02-21T09:29:47
131,SO-20250131,463,2024-09-26,27718.10,Cancelled,2021-12-30T18:15:08
132,SO-20250132,1752,2025-08-30,21426.69,Pending,2023-02-14T15:29:45
133,SO-20250133,1833,2025-07-16,42060.86,Shipped,2025-05-19T10:12:33
134,SO-20250134,1924,2022-07-31,33972.60,Completed,2021-05-26T18:18:33
135,SO-20250135,27,2025-04-17,49936.23,Shipped,2021-05-22T02:52:40
136,SO-20250136,1377,2020-11-14,5303.34,Shipped,2021-02-22T05:50:46
137,SO-20250137,1071,2024-12-29,32944.49,Pending,2021-01-19T15:02:06
138,SO-20250138,245,2023-11-25,7211.21,Shipped,2024-12-31T15:35:58
139,SO-20250139,1424,2022-12-10,29548.33,Pending,2025-01-19T14:23:56
140,SO-20250140,1519,2024-12-01,46268.25,Completed,2022-12-17T11:25:27
141,SO-20250141,133,2022-07-19,18217.31,Completed,2025-09-15T15:42:49
142,SO-20250142,694,2025-02-09,10053.16,Shipped,2024-08-17T16:15:37
143,SO-20250143,252,2021-09-05,11681.84,Shipped,2023-03-21T18:14:07
144,SO-20250144,1486,2021-03-05,24980.55,Cancelled,2024-03-12T08:32:51
145,SO-20250145,1549,2021-06-12,39485.16,Shipped,2025-04-25T05:05:21
146,SO-20250146,730,2023-04-12,23817.52,Shipped,2022-11-30T22:51:18
147,SO-20250147,993,2022-05-13,25595.16,Completed,2022-04-30T19:10:22
148,SO-20250148,1573,2021-01-29,22759.01,Pending,2022-07-11T14:25:06
149,SO-20250149,514,2022-03-14,24492.60,Completed,2023-12-10T09:13:46
150,SO-20250150,1287,2023-05-12,47123.03,Pending,2023-03-31T09:14:30
151,SO-20250151,204,2021-02-28,36903.03,Pending,2025-06-15T03:29:12
152,SO-20250152,1021,2021-11-11,33921.47,Completed,2022-12-18T17:32:52
153,SO-20250153,784,2025-01-10,30248.97,Cancelled,2022-04-01T05:46:08
154,SO-20250154,313,2024-12-17,15172.49,Pending,2024-11-08T07:07:34
155,SO-20250155,1557,2024-07-21,3872.04,Shipped,2022-12-07T18:14:15
156,SO-20250156,1624,2021-09-05,23327.79,Cancelled,2021-08-27T12:56:22
157,SO-20250157,1356,2023-07-13,24920.06,Cancelled,2021-05-16T02:00:12
158,SO-20250158,1111,2022-12-13,17213.60,Pending,2024-04-20T23:44:52
159,SO-20250159,1951,2024-03-08,38210.05,Shipped,2023-12-10T11:02:45
160,SO-20250160,1803,2021-09-20,45751.21,Shipped,2022-11-07T00:13:24
161,SO-20250161,922,2021-01-10,15762.23,Shipped,2024-07-09T11:17:14
162,SO-20250162,907,2024-11-09,23009.83,Pending,2021-07-11T19:01:06
163,SO-20250163,363,2022-08-11,27855.49,Cancelled,2022-10-10T01:57:07
164,SO-20250164,1812,2025-07-30,35317.66,Shipped,2023-01-09T22:53:17
165,SO-20250165,883,2022-10-09,6767.69,Shipped,2023-04-03T10:40:46
166,SO-20250166,999,2024-03-13,38212.36,Shipped,2022-10-04T21:20:04
167,SO-20250167,1352,2021-06-09,27711.51,Shipped,2025-04-11T16:31:55
168,SO-20250168,975,2023-04-07,28134.66,Completed,2024-08-09T17:51:43
169,SO-20250169,1038,2024-02-22,2834.07,Cancelled,2021-10-12T08:00:45
170,SO-20250170,1014,2022-03-29,29572.70,Shipped,2023-06-23T04:14:52
171,SO-20250171,1264,2021-02-11,33840.56,Cancelled,2024-02-27T13:17:52
172,SO-20250172,657,2022-01-30,3118.13,Pending,2022-07-27T16:38:00
173,SO-20250173,263,2024-08-18,41854.86,Cancelled,2025-02-20T04:07:31
174,SO-20250174,1658,2025-10-28,37115.75,Pending,2023-08-22T07:25:47
175,SO-20250175,1568,2023-05-05,44572.58,Cancelled,2021-04-13T14:57:24
176,SO-20250176,780,2023-02-18,4912.63,Cancelled,2024-12-20T23:48:42
177,SO-20250177,732,2025-01-05,20625.88,Pending,2024-12-06T14:15:51
178,SO-20250178,1355,2025-10-28,12249.23,Completed,2022-12-12T21:40:18
179,SO-20250179,1328,2022-04-14,15639.37,Pending,2021-04-25T16:24:34
180,SO-20250180,1865,2025-02-17,34415.16,Cancelled,2021-12-17T00:51:22
181,SO-20250181,235,2025-06-15,16912.83,Pending,2023-06-06T18:07:11
182,SO-20250182,1103,2021-09-20,16339.54,Shipped,2025-04-05T17:50:52
183,SO-20250183,1348,2025-08-01,43175.26,Shipped,2025-09-13T11:04:18
184,SO-20250184,547,2023-03-12,1069.09,Shipped,2024-05-09T13:03:27
185,SO-20250185,1205,2025-10-05,1160.71,Cancelled,2023-08-05T10:53:37
186,SO-20250186,774,2025-06-28,28539.16,Cancelled,2023-02-13T05:12:53
187,SO-20250187,1173,2025-01-11,4931.40,Shipped,2021-11-18T19:54:38
188,SO-20250188,205,2022-07-31,34558.66,Completed,2024-04-09T11:48:30
189,SO-20250189,689,2025-03-26,24861.73,Cancelled,2024-06-03T09:37:59
190,SO-20250190,342,2023-01-09,30760.65,Cancelled,2022-06-17T02:01:30
191,SO-20250191,1986,2024-05-04,21827.76,Shipped,2025-08-09T04:30:18
192,SO-20250192,1302,2021-10-20,42374.34,Pending,2022-02-02T20:01:40
193,SO-20250193,1722,2025-03-22,42524.20,Completed,2021-05-30T05:37:41
194,SO-20250194,589,2021-07-11,13294.50,Cancelled,2024-12-12T15:02:40
195,SO-20250195,1175,2022-09-06,20131.27,Completed,2021-06-26T19:28:24
196,SO-20250196,1280,2020-11-09,37157.26,Pending,2023-07-18T11:29:56
197,SO-20250197,1470,2022-03-25,42217.13,Pending,2021-07-09T01:25:55
198,SO-20250198,1213,2023-08-21,16875.06,Pending,2024-05-10T03:56:34
199,SO-20250199,1161,2022-05-22,40069.22,Shipped,2025-01-28T05:15:02
200,SO-20250200,875,2025-07-30,10526.47,Pending,2022-08-09T15:25:20
201,SO-20250201,1335,2021-06-08,41195.76,Cancelled,2021-11-27T14:51:36
202,SO-20250202,887,2022-10-07,33189.66,Cancelled,2023-03-08T19:24:06
203,SO-20250203,410,2022-01-30,20745.00,Cancelled,2022-03-29T09:25:35
204,SO-20250204,1280,2024-02-06,25792.69,Completed,2023-01-02T12:32:15
205,SO-20250205,1805,2024-11-27,979.24,Completed,2024-02-09T06:46:45
206,SO-20250206,1182,2024-05-11,24985.22,Shipped,2023-07-25T23:20:42
207,SO-20250207,549,2021-04-08,46861.29,Shipped,2022-12-04T09:53:25
208,SO-20250208,1915,2020-12-10,28327.52,Pending,2021-05-21T23:17:01
209,SO-20250209,1070,2025-04-23,10072.37,Shipped,2023-09-15T23:01:22
210,SO-20250210,303,2020-12-27,12056.68,Cancelled,2024-09-01T22:11:11
211,SO-20250211,1729,2024-12-19,21797.67,Cancelled,2022-06-11T00:28:24
212,SO-20250212,1762,2021-02-03,41519.21,Pending,2024-01-06T02:54:30
213,SO-20250213,1299,2023-09-26,10217.72,Shipped,2025-01-10T12:54:37
214,SO-20250214,547,2024-08-26,41194.35,Completed,2021-10-24T08:46:05
215,SO-20250215,526,2023-02-01,34358.40,Completed,2022-08-26T09:54:07
216,SO-20250216,832,2024-07-08,11962.25,Completed,2025-08-22T02:18:29
217,SO-20250217,394,2021-08-25,1433.82,Cancelled,2024-08-14T23:06:28
218,SO-20250218,951,2021-05-28,24294.85,Shipped,2023-07-28T02:20:35
219,SO-20250219,865,2021-07-24,32363.76,Pending,2021-12-11T20:08:37
220,SO-20250220,414,2021-04-26,8009.96,Completed,2023-03-29T00:25:43
221,SO-20250221,60,2024-01-22,12956.92,Cancelled,2023-06-12T18:07:40
222,SO-20250222,1349,2023-05-06,27557.77,Pending,2023-05-05T21:40:34
223,SO-20250223,1974,2024-04-12,36137.58,Pending,2021-12-07T17:25:59
224,SO-20250224,114,2024-10-30,42986.22,Pending,2023-01-29T13:46:19
225,SO-20250225,643,2021-05-30,30099.91,Pending,2022-08-23T17:34:48
226,SO-20250226,1845,2024-12-18,47756.67,Cancelled,2023-06-06T00:43:04
227,SO-20250227,1376,2024-05-23,32888.66,Pending,2024-04-16T00:58:07
228,SO-20250228,813,2025-08-29,47160.95,Completed,2022-10-20T01:54:43
229,SO-20250229,484,2023-06-03,5641.02,Pending,2024-07-11T05:19:34
230,SO-20250230,1069,2023-05-23,33227.65,Cancelled,2021-05-04T03:31:52
231,SO-20250231,1017,2023-11-11,44234.01,Completed,2024-10-07T01:35:28
232,SO-20250232,1229,2023-07-05,6157.73,Cancelled,2022-03-23T11:40:30
233,SO-20250233,675,2020-11-09,41625.09,Shipped,2024-09-11T21:37:50
234,SO-20250234,1651,2022-04-20,37431.29,Completed,2023-06-22T23:10:39
235,SO-20250235,1916,2025-07-22,21172.31,Completed,2024-05-16T07:12:33
236,SO-20250236,219,2022-07-14,8798.96,Cancelled,2021-09-30T05:36:02
237,SO-20250237,901,2021-05-31,20448.36,Pending,2022-11-13T21:57:16
238,SO-20250238,1005,2023-02-28,26696.83,Pending,2022-07-23T00:23:38
239,SO-20250239,649,2022-09-20,27309.96,Shipped,2025-08-11T06:48:10
240,SO-20250240,1399,2021-08-18,12355.02,Cancelled,2022-06-11T08:06:52
241,SO-20250241,1802,2022-02-18,39224.45,Completed,2020-12-06T22:03:05
242,SO-20250242,744,2021-09-27,23787.33,Cancelled,2024-07-01T02:50:22
243,SO-20250243,1683,2021-01-10,15443.16,Pending,2024-11-20T17:06:26
244,SO-20250244,1724,2024-02-02,36985.51,Pending,2022-02-01T00:02:45
245,SO-20250245,1415,2024-02-09,45876.99,Completed,2023-09-22T23:01:58
246,SO-20250246,519,2021-02-02,27658.76,Cancelled,2024-06-20T03:09:56
247,SO-20250247,1309,2023-06-29,47926.26,Cancelled,2021-01-29T03:58:42
248,SO-20250248,1850,2022-08-29,40621.90,Pending,2024-04-19T19:28:18
249,SO-20250249,1096,2025-06-08,43354.30,Shipped,2023-05-16T17:52:23
250,SO-20250250,796,2020-11-01,442.91,Shipped,2024-04-12T21:33:51
251,SO-20250251,1900,2024-08-30,48900.74,Cancelled,2022-03-16T14:34:36
252,SO-20250252,617,2022-03-05,4558.00,Completed,2023-11-13T23:29:00
253,SO-20250253,610,2024-10-07,10558.81,Completed,2022-06-06T03:48:04
254,SO-20250254,1876,2022-12-03,21970.35,Cancelled,2021-05-31T16:55:01
255,SO-20250255,1802,2021-11-27,40621.78,Shipped,2021-10-04T21:54:30
256,SO-20250256,1617,2021-02-23,1742.39,Pending,2024-09-02T04:50:02
257,SO-20250257,1686,2022-05-25,38983.86,Shipped,2024-01-20T14:30:27
258,SO-20250258,965,2023-06-09,36860.25,Cancelled,2022-02-13T16:59:10
259,SO-20250259,1470,2024-12-31,21147.18,Pending,2022-06-04T16:17:27
260,SO-20250260,1689,2023-08-01,8059.15,Cancelled,2021-05-19T01:08:21
261,SO-20250261,1037,2024-03-24,3365.04,Shipped,2021-03-01T02:59:07
262,SO-20250262,1234,2024-05-30,36475.12,Cancelled,2023-01-23T07:10:40
263,SO-20250263,929,2024-10-03,34775.74,Pending,2024-12-28T20:16:09
264,SO-20250264,1314,2021-07-20,32097.55,Shipped,2024-04-09T22:09:56
265,SO-20250265,1621,2023-08-15,32072.89,Pending,2022-08-14T07:29:22
266,SO-20250266,821,2023-10-21,10043.76,Cancelled,2023-03-13T01:02:01
267,SO-20250267,643,2022-11-14,28811.68,Pending,2022-12-23T01:35:46
268,SO-20250268,324,2024-07-21,12517.70,Completed,2023-06-13T07:22:29
269,SO-20250269,1735,2025-04-12,29721.11,Shipped,2020-12-20T08:55:18
270,SO-20250270,1624,2023-08-10,46973.94,Shipped,2024-12-21T07:26:50
271,SO-20250271,980,2021-05-14,43681.62,Completed,2025-03-19T18:16:50
272,SO-20250272,534,2021-07-28,8715.28,Cancelled,2025-08-03T10:26:12
273,SO-20250273,1638,2025-01-28,14125.78,Pending,2025-04-13T10:35:46
274,SO-20250274,849,2021-07-11,18411.60,Shipped,2024-12-14T16:21:16
275,SO-20250275,1795,2024-09-26,18897.14,Completed,2021-02-19T08:11:34
276,SO-20250276,43,2024-12-11,47408.06,Completed,2024-03-06T16:22:32
277,SO-20250277,1858,2022-06-22,4494.38,Shipped,2022-06-04T08:40:01
278,SO-20250278,407,2022-02-06,13126.07,Completed,2022-08-13T08:18:40
279,SO-20250279,102,2024-08-14,20081.69,Shipped,2022-06-21T03:42:23
280,SO-20250280,1230,2021-12-20,13044.88,Pending,2022-08-02T10:57:03
281,SO-20250281,1963,2023-10-22,18427.61,Pending,2021-10-27T18:34:03
282,SO-20250282,29,2023-04-13,35943.24,Shipped,2022-03-01T09:17:24
283,SO-20250283,1584,2022-10-12,46003.45,Shipped,2023-07-27T18:56:13
284,SO-20250284,1695,2023-05-19,33696.82,Pending,2023-05-07T07:44:57
285,SO-20250285,460,2022-11-29,35692.51,Completed,2022-05-26T09:41:22
286,SO-20250286,1938,2023-04-12,43103.74,Cancelled,2020-12-06T16:31:46
287,SO-20250287,590,2025-04-09,37334.83,Shipped,2024-03-24T06:26:58
288,SO-20250288,267,2022-11-28,21593.86,Completed,2022-01-02T08:33:34
289,SO-20250289,1229,2025-03-24,10817.55,Cancelled,2022-07-17T23:30:23
290,SO-20250290,1489,2021-09-05,33875.57,Shipped,2024-07-14T06:10:23
291,SO-20250291,370,2025-06-27,20455.78,Completed,2022-03-01T02:10:18
292,SO-20250292,59,2024-02-03,14545.14,Cancelled,2025-07-03T00:38:23
293,SO-20250293,483,2025-05-06,30903.13,Completed,2022-05-01T18:15:21
294,SO-20250294,758,2024-11-11,29166.01,Shipped,2020-11-08T13:23:50
295,SO-20250295,176,2025-03-14,565.50,Completed,2024-04-25T11:13:34
296,SO-20250296,1785,2023-12-11,16196.14,Shipped,2021-03-11T10:58:55
297,SO-20250297,1407,2022-03-21,10650.27,Shipped,2021-05-31T03:33:48
298,SO-20250298,1451,2022-09-13,21193.38,Cancelled,2024-06-05T03:01:33
299,SO-20250299,150,2021-03-31,4809.21,Pending,2025-02-08T00:49:08
300,SO-20250300,107,2021-03-08,16676.48,Completed,2024-02-20T00:01:51
301,SO-20250301,965,2021-03-21,45415.92,Pending,2025-08-13T00:40:03
302,SO-20250302,11,2022-09-23,12720.16,Shipped,2021-07-03T04:01:45
303,SO-20250303,620,2024-11-16,48877.32,Cancelled,2023-02-22T11:40:47
304,SO-20250304,271,2021-12-30,48404.49,Pending,2024-12-17T03:33:44
305,SO-20250305,1189,2023-01-14,9009.64,Completed,2023-04-06T19:33:31
306,SO-20250306,1032,2025-05-06,24667.35,Cancelled,2025-07-08T17:56:17
307,SO-20250307,1798,2025-06-06,23430.84,Pending,2021-11-06T21:43:38
308,SO-20250308,650,2024-01-29,35527.27,Shipped,2025-08-05T19:43:11
309,SO-20250309,291,2025-07-11,13057.28,Cancelled,2022-11-04T13:11:02
310,SO-20250310,91,2023-06-07,48926.90,Shipped,2025-02-05T20:23:14
311,SO-20250311,1786,2023-04-29,48669.91,Cancelled,2022-04-11T03:10:44
312,SO-20250312,1532,2024-05-19,18061.58,Shipped,2022-05-21T14:05:08
313,SO-20250313,580,2024-01-02,45144.49,Cancelled,2021-01-04T11:41:22
314,SO-20250314,1256,2023-04-28,41487.98,Cancelled,2021-06-29T05:07:47
315,SO-20250315,1059,2021-11-23,15684.87,Completed,2025-08-09T12:59:16
316,SO-20250316,647,2023-08-05,36856.62,Shipped,2023-12-03T09:54:09
317,SO-20250317,1565,2024-03-29,47505.03,Shipped,2023-10-19T22:03:07
318,SO-20250318,109,2024-11-24,9486.55,Pending,2024-06-23T20:04:48
319,SO-20250319,471,2021-09-11,9197.91,Shipped,2021-01-12T17:28:08
320,SO-20250320,533,2025-07-15,8219.57,Shipped,2022-03-22T12:55:48
321,SO-20250321,894,2025-04-06,5845.40,Shipped,2025-03-28T08:00:07
322,SO-20250322,84,2022-11-02,22103.91,Shipped,2023-01-16T08:52:29
323,SO-20250323,938,2024-06-24,24674.78,Completed,2025-09-05T18:50:24
324,SO-20250324,254,2021-04-05,17512.73,Completed,2020-11-04T07:23:59
325,SO-20250325,1779,2024-01-14,14241.62,Completed,2023-10-10T12:22:36
326,SO-20250326,1536,2023-08-11,25461.45,Cancelled,2022-12-22T05:55:26
327,SO-20250327,1154,2023-11-12,44550.18,Completed,2024-02-10T15:29:46
328,SO-20250328,1196,2022-07-15,49900.33,Pending,2022-06-28T01:19:09
329,SO-20250329,1078,2023-07-23,38354.04,Completed,2022-02-20T11:22:10
330,SO-20250330,853,2023-08-10,46024.64,Completed,2022-05-22T18:45:13
331,SO-20250331,1574,2024-05-31,24930.63,Pending,2021-06-24T10:02:33
332,SO-20250332,1818,2023-07-14,16466.46,Cancelled,2025-09-30T16:34:36
333,SO-20250333,1396,2025-06-30,49067.66,Pending,2022-06-04T16:05:03
334,SO-20250334,808,2024-01-28,18709.24,Pending,2025-03-18T01:13:16
335,SO-20250335,1715,2021-08-25,16210.74,Pending,2021-04-14T09:00:30
336,SO-20250336,167,2023-07-14,23038.65,Shipped,2024-06-18T06:35:05
337,SO-20250337,930,2021-12-22,31436.42,Cancelled,2023-09-27T06:01:03
338,SO-20250338,1217,2021-03-20,32917.41,Cancelled,2024-06-25T13:34:52
