id,order_id,vendor,date,item,quantity,amount,status,created_at
45,PO-20045,"Evans, Murphy and Fox",2023-01-10,Save,49,15290.17,Received,2023-01-29T06:07:33
46,PO-20046,Edwards PLC,2025-10-25,Skill,72,116335.80,Pending,2024-04-07T22:31:37
47,PO-20047,"Smith, Larson and Carrillo",2022-12-08,Staff,966,165631.97,Cancelled,2025-06-02T05:28:33
48,PO-20048,"Tate, Fuentes and Chen",2025-10-17,Here,950,169357.48,Received,2024-05-19T18:16:51
49,PO-20049,Avila-King,2024-06-12,It,694,54176.76,Pending,2022-12-29T04:27:15
50,PO-20050,Thomas-Perez,2025-05-23,Around,707,82650.94,Received,2025-02-08T02:45:55
51,PO-20051,Perez Ltd,2025-05-04,Walk,969,108218.50,Received,2025-09-24T06:04:23
52,PO-20052,Sims and Sons,2023-06-09,Option,763,182294.88,Cancelled,2024-04-25T00:02:54
53,PO-20053,Reed-Hawkins,2024-09-28,To,839,62118.07,Received,2023-08-03T09:15:08
54,PO-20054,Patton Inc,2025-07-10,Seven,660,98823.55,Received,2024-02-25T01:19:16
55,PO-20055,Stephens-Johnson,2025-01-09,Source,248,70868.68,Pending,2024-06-06T06:04:48
56,PO-20056,King-Johnson,2024-03-02,Organization,827,24232.83,Cancelled,2023-07-24T12:00:15
57,PO-20057,Hernandez and Sons,2023-07-22,Move,310,117458.53,Received,2025-01-20T06:22:12
58,PO-20058,"Middleton, Little and Lamb",2023-12-20,Mention,66,77594.45,Pending,2025-09-17T17:53:30
59,PO-20059,Juarez-Johnson,2023-01-14,Director,169,196625.73,Received,2024-07-01T14:24:48
60,PO-20060,"Castillo, Brown and Mueller",2025-03-20,Life,364,81310.15,Pending,2022-12-25T09:54:28
61,PO-20061,House Group,2025-04-19,Occur,842,191300.85,Received,2024-03-26T18:06:29
62,PO-20062,Jenkins-Howell,2024-12-12,Know,418,165118.04,Cancelled,2024-07-10T06:18:32
63,PO-20063,Ayala Group,2024-07-20,Compare,6,190835.55,Pending,2024-12-25T08:03:01
64,PO-20064,Graham-Morrow,2025-02-14,Discuss,229,67154.48,Cancelled,2023-07-26T15:11:30
65,PO-20065,Castro PLC,2022-11-28,While,807,18594.98,Cancelled,2023-05-05T00:34:35
66,PO-20066,"Harris, Patterson and Hernandez",2024-12-05,Kind,588,131540.65,Pending,2024-06-21T12:15:02
67,PO-20067,Wilkinson-Cook,2024-01-03,Interest,121,170633.31,Pending,2024-11-06T13:44:06
68,PO-20068,"Wilson, Sloan and Elliott",2025-10-10,Check,981,106938.17,Pending,2024-08-29T03:00:14
69,PO-20069,"Ramirez, Mejia and Carter",2024-08-31,Third,254,5519.19,Cancelled,2023-12-02T05:08:30
70,PO-20070,Graves Ltd,2024-12-13,Marriage,331,14885.58,Pending,2023-06-12T05:54:43
71,PO-20071,Lindsey-Hernandez,2024-05-17,Answer,465,17221.27,Pending,2025-06-14T06:00:54
72,PO-20072,Griffith-Garza,2025-03-29,Board,361,180081.10,Cancelled,2025-06-04T02:34:12
73,PO-20073,Mitchell-Fuentes,2025-10-14,Sport,90,53086.13,Cancelled,2025-03-04T22:48:46
74,PO-20074,"Taylor, Mason and Jenkins",2025-04-29,Edge,589,83959.26,Pending,2024-12-26T02:20:45
75,PO-20075,Johnson-Buckley,2024-10-05,Available,726,66598.59,Pending,2023-01-29T15:24:55
76,PO-20076,"Reed, Cunningham and Hernandez",2025-09-16,Year,250,195388.41,Pending,2024-05-02T09:09:12
77,PO-20077,"Miller, Williams and Thompson",2024-01-19,Say,37,118169.83,Received,2024-06-10T08:29:52
78,PO-20078,"Richards, Garcia and Castro",2024-03-07,Activity,591,148186.93,Cancelled,2025-01-01T05:03:36
79,PO-20079,"Santos, Taylor and Mayo",2023-10-12,Wide,990,90093.80,Cancelled,2025-05-28T04:37:37
80,PO-20080,Mueller Ltd,2025-03-02,Deep,540,67383.29,Received,2025-09-06T17:06:23
81,PO-20081,"Horne, Tucker and Yang",2023-05-20,Admit,203,52257.89,Cancelled,2025-07-01T20:31:59
82,PO-20082,Tate-Pena,2023-06-04,Lawyer,395,159740.02,Received,2023-03-29T02:35:54
83,PO-20083,"Arnold, Ellis and Tanner",2025-09-22,Send,333,101224.08,Cancelled,2024-03-27T11:51:00
84,PO-20084,Johnson LLC,2023-11-26,Focus,332,51775.52,Pending,2024-08-27T10:12:01
85,PO-20085,"Cook, Harris and Avila",2023-12-01,Name,990,173099.78,Received,2023-09-24T15:38:21
86,PO-20086,Oconnor PLC,2023-08-24,Choice,213,49696.61,Pending,2024-01-14T12:20:45
87,PO-20087,Brown Group,2023-02-22,Shake,43,44584.23,Pending,2025-08-22T21:46:52
88,PO-20088,Flores-Murphy,2022-12-14,Most,279,91288.53,Received,2024-10-04T05:00:20
89,PO-20089,Alexander-Johnson,2023-04-04,Admit,684,81034.82,Pending,2024-08-21T11:01:35
90,PO-20090,"Ball, Cochran and Cobb",2023-09-12,Partner,242,56920.80,Cancelled,2025-04-09T09:40:06
91,PO-20091,Johnson and Sons,2025-07-30,Meet,181,73225.99,Cancelled,2025-08-28T22:19:41
92,PO-20092,"Love, Herrera and Lopez",2025-07-31,Result,661,166246.12,Pending,2025-06-29T10:44:30
93,PO-20093,Sampson-Johnson,2023-10-15,Go,931,25192.47,Cancelled,2023-01-21T19:40:54
94,PO-20094,Lopez Ltd,2024-12-31,Feel,827,125836.29,Pending,2025-03-13T17:56:29
95,PO-20095,Brooks-White,2025-02-03,Behind,608,57660.69,Pending,2023-11-08T16:58:04
96,PO-20096,"Johnson, Parker and Palmer",2023-09-17,Maybe,112,17999.67,Cancelled,2022-11-10T23:28:22
97,PO-20097,"Johnson, Williams and Williams",2025-07-25,Population,353,26883.60,Received,2023-10-03T09:32:44
98,PO-20098,Johnson-Monroe,2024-09-04,Either,680,144512.22,Pending,2025-08-05T19:38:04
99,PO-20099,Williams PLC,2024-05-10,Today,549,99033.64,Cancelled,2024-11-13T23:19:04
100,PO-20100,Villarreal Group,2025-03-26,Mention,300,19589.20,Received,2025-03-02T06:57:00
101,PO-20101,Taylor Inc,2023-03-29,State,357,83249.88,Received,2023-02-13T20:41:40
102,PO-20102,"Mcguire, Willis and Robertson",2024-12-24,Fire,667,47319.39,Pending,2024-04-18T03:58:38
103,PO-20103,Hansen-King,2025-03-10,Also,506,7492.07,Received,2025-03-04T19:33:39
104,PO-20104,Patterson-Yates,2024-06-24,Tv,786,138069.99,Cancelled,2025-07-07T19:42:02
105,PO-20105,"Ponce, Thompson and Anderson",2025-05-19,Dream,676,94992.94,Received,2024-05-05T07:43:18
106,PO-20106,"Ali, Cole and Myers",2025-10-06,Sign,721,73507.25,Received,2025-01-15T04:59:54
107,PO-20107,"Ayala, Randall and Curry",2023-03-30,Policy,242,74778.97,Pending,2025-04-30T17:42:57
108,PO-20108,"Moore, Johnson and Avila",2024-04-16,Similar,881,64267.89,Cancelled,2024-02-29T01:02:32
109,PO-20109,Pittman and Sons,2023-09-13,Down,270,85631.58,Pending,2023-07-29T19:14:57
110,PO-20110,Thomas-Howard,2023-02-25,Bit,130,30512.25,Cancelled,2024-09-30T00:20:00
111,PO-20111,Gordon Inc,2025-06-05,Quite,906,141814.55,Received,2023-07-08T14:27:35
112,PO-20112,"Torres, Lopez and Lee",2025-10-05,Must,782,184832.98,Received,2025-08-17T07:59:30
113,PO-20113,Mckay-Case,2024-09-23,Analysis,37,11325.70,Received,2025-08-03T15:54:35
114,PO-20114,"Davis, Dennis and Robinson",2024-07-22,Central,315,156467.03,Cancelled,2024-12-10T01:31:11
115,PO-20115,Johnson-Caldwell,2025-07-18,Different,2,115130.90,Pending,2022-11-22T09:13:09
116,PO-20116,Rodriguez Inc,2025-08-26,Follow,662,30868.98,Pending,2025-05-04T13:39:51
117,PO-20117,"Rivera, Warner and Scott",2025-04-05,Tree,622,45325.99,Cancelled,2024-07-30T23:11:46
118,PO-20118,"Murphy, Mason and Ballard",2024-11-10,Memory,101,73790.05,Received,2023-10-26T05:29:27
119,PO-20119,"Contreras, Morgan and Ramirez",2024-07-03,Alone,99,108836.47,Received,2024-08-02T18:04:50
120,PO-20120,Salazar-Robinson,2024-09-10,Successful,638,165003.67,Received,2024-01-10T11:27:20
121,PO-20121,Thomas LLC,2023-08-15,Blood,59,11586.66,Cancelled,2025-05-21T14:34:15
122,PO-20122,Cannon-Morrison,2023-08-01,Direction,620,160595.01,Received,2023-10-13T19:42:07
123,PO-20123,Cooper-Sanchez,2023-02-13,Their,446,1606.94,Received,2025-02-08T01:16:58
124,PO-20124,Wiggins Inc,2023-07-27,Purpose,396,112657.92,Received,2025-07-21T21:43:57
125,PO-20125,Simmons-Jensen,2024-01-10,Democratic,687,54463.45,Received,2022-12-14T15:12:19
126,PO-20126,Thomas-Barnes,2024-03-10,Expert,928,75597.93,Cancelled,2025-09-12T14:40:51
127,PO-20127,Love Group,2022-11-06,Teach,927,113234.73,Received,2024-10-19T07:39:33
128,PO-20128,"Brown, Moreno and Harding",2025-03-13,Suddenly,981,92503.58,Received,2023-03-28T01:37:48
129,PO-20129,Gallegos PLC,2024-03-26,Operation,439,182811.38,Pending,2024-01-19T05:54:05
130,PO-20130,Williams Inc,2024-05-02,Maintain,165,49221.09,Pending,2024-07-20T16:06:21
131,PO-20131,Smith and Sons,2025-07-19,Provide,47,196723.45,Cancelled,2023-04-19T17:41:34
132,PO-20132,Gardner PLC,2025-04-16,Various,336,26744.05,Cancelled,2024-05-27T01:37:18
133,PO-20133,"Howard, Woods and Sanders",2025-05-08,Even,27,176469.36,Pending,2024-01-10T00:05:48
134,PO-20134,"Cortez, Duncan and Carter",2023-11-02,Return,645,17947.51,Pending,2024-09-13T16:38:54
135,PO-20135,English and Sons,2024-09-24,Seem,495,86119.06,Cancelled,2024-05-24T16:51:57
136,PO-20136,Lam-Reed,2024-11-28,Why,736,162079.44,Pending,2023-02-28T03:10:18
137,PO-20137,Hart-Ramirez,2023-09-28,Everybody,24,19693.67,Cancelled,2024-02-10T15:14:13
138,PO-20138,Williams Ltd,2025-03-11,Air,112,91829.60,Pending,2025-05-18T05:02:42
139,PO-20139,Kramer-Jones,2023-07-12,Class,44,118440.17,Pending,2024-02-24T02:52:06
140,PO-20140,Dunn-Kennedy,2024-04-07,Never,262,34852.96,Pending,2022-11-11T17:09:54
141,PO-20141,"Woodard, Castro and Kim",2023-03-02,Exactly,531,184838.55,Received,2024-02-16T22:48:21
142,PO-20142,"Mathis, Johnson and Kim",2024-12-10,Make,989,172969.41,Pending,2023-11-07T19:26:28
143,PO-20143,Holder Group,2023-06-18,Already,690,119804.09,Cancelled,2023-07-22T11:25:19
144,PO-20144,"Smith, Ramos and Savage",2023-03-18,Arrive,369,92671.53,Cancelled,2024-01-16T01:58:33
145,PO-20145,"Miller, Hernandez and Moore",2024-05-28,Produce,525,94953.10,Received,2025-06-07T15:56:09
146,PO-20146,Alvarez-Gentry,2023-09-29,Build,114,133902.66,Pending,2025-07-31T22:04:01
147,PO-20147,Ferguson Group,2025-01-09,House,984,89208.77,Pending,2023-01-10T23:56:54
148,PO-20148,Montes-Rodriguez,2023-05-06,Line,41,143516.13,Received,2025-10-01T16:56:28
149,PO-20149,Shannon-Martin,2023-02-12,Forward,232,63110.68,Pending,2024-02-07T19:45:09
150,PO-20150,"Mcintyre, Harrison and Espinoza",2024-02-24,Simple,653,42427.42,Cancelled,2024-07-28T18:32:53
151,PO-20151,Wilson-Cummings,2025-09-03,Whether,71,100252.41,Received,2023-09-23T00:03:09
152,PO-20152,"Weaver, Ayala and Ward",2023-05-24,Quite,261,115596.61,Cancelled,2024-09-25T19:49:59
153,PO-20153,Peters-Murray,2024-12-08,Indicate,932,169274.57,Received,2024-02-15T20:01:25
154,PO-20154,Gardner LLC,2025-02-04,Modern,214,148828.62,Cancelled,2024-06-04T00:08:09
155,PO-20155,Burnett and Sons,2023-08-31,Heavy,373,181547.74,Pending,2023-12-08T14:27:56
156,PO-20156,Davis Ltd,2023-09-23,Various,329,106725.83,Pending,2024-05-31T13:41:32
157,PO-20157,"Thomas, Archer and Lewis",2023-11-03,Still,829,63710.40,Cancelled,2025-03-27T03:03:52
158,PO-20158,Lopez Group,2024-07-14,Personal,755,123693.73,Received,2023-12-31T00:18:48
159,PO-20159,Smith-Day,2024-08-07,Room,123,63018.96,Pending,2023-01-05T18:25:20
160,PO-20160,Robinson-Fernandez,2024-03-02,Mind,993,58337.98,Received,2023-05-24T12:54:00
161,PO-20161,Yates LLC,2023-12-30,Music,952,10854.94,Pending,2023-12-16T05:52:43
162,PO-20162,Mcintyre-Perry,2023-12-26,Fast,561,98640.43,Received,2025-04-18T23:18:40
163,PO-20163,"Mills, Dean and Robinson",2023-07-17,Recognize,241,505.41,Cancelled,2022-12-02T11:57:26
164,PO-20164,English Group,2022-12-22,Nature,525,58868.92,Received,2023-06-25T21:31:43
165,PO-20165,Edwards-Mcclure,2023-12-19,Return,749,6564.21,Received,2025-07-03T10:52:04
166,PO-20166,"Simmons, Cruz and Andersen",2025-09-04,That,666,23811.30,Received,2025-03-16T23:35:05
167,PO-20167,Moore-Harris,2025-05-17,Worker,308,147637.07,Received,2023-04-30T02:32:43
168,PO-20168,Simmons-Gray,2025-08-08,Our,765,161659.47,Cancelled,2022-11-21T14:09:22
169,PO-20169,"Hill, Armstrong and Ray",2024-03-08,Born,52,113577.09,Cancelled,2025-07-15T23:21:42
170,PO-20170,Baker-Poole,2022-11-24,Water,391,115819.42,Pending,2023-12-16T21:08:48
171,PO-20171,Rose Group,2023-05-05,Us,800,99402.14,Cancelled,2024-11-24T14:28:52
172,PO-20172,"Hess, Harris and Schmidt",2023-08-06,Computer,498,114816.08,Pending,2023-02-06T12:58:18
173,PO-20173,Garcia-Green,2024-06-16,Manager,104,65313.71,Received,2023-11-13T12:23:21
174,PO-20174,"Branch, Ali and Summers",2025-07-23,Trouble,981,3395.21,Cancelled,2024-10-29T07:33:59
175,PO-20175,Acevedo Inc,2023-03-07,Company,2,173591.52,Pending,2024-08-24T22:03:20
176,PO-20176,"Thomas, Rowe and Reynolds",2024-11-21,All,587,67984.54,Received,2025-01-07T05:41:19
177,PO-20177,Lopez LLC,2023-02-07,Get,341,54346.44,Pending,2024-09-23T09:41:48
178,PO-20178,Hogan-Watson,2022-12-25,Ten,643,64158.42,Cancelled,2023-10-28T23:50:49
179,PO-20179,Jackson and Sons,2025-10-06,Notice,677,129082.78,Cancelled,2024-09-24T04:26:48
180,PO-20180,Velasquez PLC,2024-02-07,Season,399,68829.36,Received,2025-07-04T12:24:16
181,PO-20181,Bailey Ltd,2025-04-20,Return,48,169272.49,Received,2024-01-23T15:05:54
182,PO-20182,"Cunningham, Klein and Moon",2023-01-31,Traditional,486,82211.71,Cancelled,2024-09-28T12:10:07
183,PO-20183,"Hawkins, Watson and Clark",2024-09-26,Long,908,12354.24,Cancelled,2023-08-10T03:35:55
184,PO-20184,"Griffin, Bauer and Carter",2024-06-29,Stuff,363,189438.21,Received,2023-05-17T07:31:36
185,PO-20185,"Mitchell, Baldwin and Roberts",2024-09-07,Out,562,47120.96,Received,2025-02-12T22:28:46
186,PO-20186,"Khan, Thomas and Fletcher",2023-09-16,Drive,56,71120.10,Cancelled,2025-06-02T23:37:22
187,PO-20187,Moore-Dean,2024-04-21,Boy,243,55326.17,Pending,2023-08-22T02:57:17
188,PO-20188,Chaney PLC,2025-02-25,Feeling,187,91583.65,Received,2023-12-27T23:12:00
189,PO-20189,Griffin LLC,2024-08-29,International,269,126911.43,Cancelled,2023-02-28T02:28:50
190,PO-20190,Blair Group,2025-07-19,Live,55,24939.64,Received,2024-10-23T14:14:18
191,PO-20191,Brock LLC,2024-12-08,Medical,182,177076.64,Cancelled,2024-02-11T23:33:46
192,PO-20192,"Stewart, Donovan and Cooper",2025-07-22,People,348,4162.70,Cancelled,2023-10-03T03:54:42
193,PO-20193,Sparks Group,2023-06-18,Phone,207,85591.61,Pending,2025-05-14T02:06:47
194,PO-20194,Mcdonald-Woods,2024-05-09,Policy,390,108809.50,Received,2023-08-07T00:11:10
195,PO-20195,Small PLC,2023-11-21,Particularly,37,30961.11,Pending,2024-11-29T21:18:45
196,PO-20196,"Rose, Ramos and Day",2023-12-09,Fear,127,5814.10,Received,2025-08-02T22:32:59
197,PO-20197,Sanford-Jenkins,2024-05-12,Protect,306,150481.78,Cancelled,2025-07-13T03:44:01
198,PO-20198,Knapp Group,2024-07-30,Well,43,125630.27,Cancelled,2023-10-25T06:51:41
199,PO-20199,Shields LLC,2023-05-07,Close,295,77822.11,Received,2024-05-07T09:23:37
200,PO-20200,Hamilton PLC,2024-08-13,Hot,369,37554.05,Received,2023-05-13T15:18:27
201,PO-20201,Martin-Montes,2023-09-30,Create,650,115943.22,Pending,2025-05-24T06:52:13
202,PO-20202,Harmon-Phillips,2023-03-29,Mention,636,84625.98,Received,2025-09-14T12:52:04
203,PO-20203,Duke and Sons,2025-04-17,Forward,934,184958.93,Received,2023-07-20T18:53:52
204,PO-20204,Reese PLC,2022-12-02,Let,618,24900.81,Received,2024-12-23T20:36:26
205,PO-20205,Smith-Cross,2022-11-25,American,887,10820.01,Cancelled,2024-09-26T04:21:00
206,PO-20206,Reyes-Colon,2023-01-29,Since,331,98620.45,Pending,2023-12-02T19:47:12
207,PO-20207,Spence-Lewis,2025-06-01,Important,871,144309.24,Pending,2024-11-19T12:40:18
208,PO-20208,Lara Ltd,2023-01-27,Doctor,268,71790.15,Cancelled,2023-08-13T15:10:51
209,PO-20209,Ross Ltd,2023-05-22,Indicate,303,38452.54,Pending,2023-11-10T01:24:39
210,PO-20210,Donaldson-Cooper,2024-10-10,Including,825,44445.80,Pending,2025-09-26T04:02:53
211,PO-20211,"Simpson, Smith and Jones",2025-02-22,Customer,615,197501.29,Pending,2025-05-15T19:57:35
212,PO-20212,"Williams, Nichols and Washington",2024-09-10,Southern,76,139626.71,Cancelled,2024-11-28T23:45:11
213,PO-20213,Vargas-Watkins,2024-03-29,Involve,77,143699.76,Cancelled,2023-04-13T23:31:58
214,PO-20214,Davidson PLC,2023-03-16,Kind,128,23552.58,Pending,2023-12-16T01:55:36
215,PO-20215,Harrington Ltd,2023-09-03,School,223,108563.83,Received,2023-08-30T04:51:44
216,PO-20216,Clark-Snyder,2022-12-14,Skill,196,185732.40,Cancelled,2023-02-19T22:20:07
217,PO-20217,Bryant-Alvarez,2024-01-23,Everything,27,177643.65,Received,2024-12-25T12:14:59
218,PO-20218,"Vargas, Johnson and Thomas",2024-03-31,Thought,759,99918.38,Cancelled,2023-10-12T07:23:06
219,PO-20219,Stevens-Thompson,2023-06-15,Win,616,156870.68,Cancelled,2023-08-28T21:44:26
220,PO-20220,"Clark, Williamson and Wright",2022-12-31,Fast,97,171780.16,Cancelled,2022-12-18T01:20:24
221,PO-20221,"Bishop, Warner and Morgan",2022-11-14,Edge,413,110418.72,Received,2025-06-01T08:16:02
222,PO-20222,Weber-Castro,2022-11-24,Air,940,2221.15,Received,2024-07-19T14:38:54
223,PO-20223,Graham-Murray,2024-01-06,Benefit,883,77144.15,Received,2025-07-25T16:13:34
224,PO-20224,"Oconnor, Green and Poole",2025-08-15,Course,522,132177.79,Received,2024-05-10T08:05:34
225,PO-20225,Barr-Schmidt,2024-05-10,Board,954,40026.07,Pending,2025-09-28T07:09:13
226,PO-20226,Avila-Thompson,2025-05-07,Something,961,17729.73,Received,2023-09-21T16:04:48
227,PO-20227,"Mcdonald, Brooks and Short",2025-08-17,Research,34,119501.89,Pending,2025-06-02T21:43:20
228,PO-20228,Snyder-Brown,2024-08-06,Loss,231,179769.37,Pending,2024-12-28T16:15:35
229,PO-20229,Oneill LLC,2025-03-01,Way,680,36026.65,Pending,2022-12-28T03:42:53
230,PO-20230,Vargas PLC,2025-01-11,Piece,808,58717.42,Cancelled,2025-04-21T20:34:01
231,PO-20231,"Collins, Lamb and Maldonado",2024-12-24,Admit,46,21660.97,Received,2024-04-25T16:23:19
232,PO-20232,Mclaughlin-Andrade,2025-03-28,Keep,56,72018.83,Pending,2025-09-30T07:44:38
233,PO-20233,Hughes Inc,2023-08-31,Down,611,46080.51,Received,2024-03-11T16:59:34
234,PO-20234,Scott and Sons,2024-12-21,Risk,987,124352.17,Cancelled,2025-01-26T17:58:13
235,PO-20235,"Acosta, Hoover and Beck",2024-01-01,Paper,534,53077.24,Cancelled,2024-12-02T05:15:40
236,PO-20236,"Morse, Martinez and Stark",2023-11-07,Leader,252,103074.99,Received,2024-02-03T09:46:40
237,PO-20237,Nguyen Group,2024-08-14,Science,255,118528.63,Pending,2025-02-22T15:03:01
238,PO-20238,"Tucker, Jimenez and Greer",2024-07-22,Thousand,878,97454.82,Received,2023-05-18T01:45:18
239,PO-20239,Hanson-Salinas,2025-02-28,Alone,739,103472.76,Pending,2025-05-12T13:15:51
240,PO-20240,Johnson Ltd,2025-03-10,Situation,839,182771.01,Pending,2024-05-01T16:39:18
241,PO-20241,Obrien-Mitchell,2024-01-17,Difference,683,187249.57,Cancelled,2023-11-26T17:12:45
242,PO-20242,Perez PLC,2025-05-16,Baby,289,114232.97,Pending,2025-03-17T15:50:35
243,PO-20243,"Vasquez, Gardner and Vincent",2023-01-19,Maintain,887,3591.71,Pending,2023-12-11T16:52:30
244,PO-20244,"Mccoy, Case and Fuller",2025-06-24,Tax,187,167995.50,Pending,2023-05-08T15:59:34
245,PO-20245,"Watts, Garcia and Barker",2024-08-16,Thousand,167,2231.74,Cancelled,2025-05-31T05:31:59
246,PO-20246,"Contreras, Taylor and Mccullough",2025-01-07,Too,623,27182.24,Cancelled,2022-12-09T05:33:29
247,PO-20247,Duncan Group,2023-11-30,Deal,549,191964.40,Received,2024-05-09T15:34:36
248,PO-20248,Clark PLC,2024-08-04,Tax,62,169039.11,Received,2023-11-01T21:19:00
249,PO-20249,Hernandez PLC,2024-06-12,Political,235,101523.67,Received,2023-07-15T13:57:10
250,PO-20250,Palmer-Skinner,2023-04-16,Stock,707,72871.59,Received,2023-11-27T22:45:40
251,PO-20251,"Baker, Meyer and Keith",2023-12-25,Hotel,51,69155.24,Cancelled,2023-06-19T03:54:46
252,PO-20252,Robinson-Montoya,2025-02-15,Something,557,18440.70,Cancelled,2023-06-11T02:18:05
253,PO-20253,"Arnold, Ramirez and Ritter",2024-06-25,Would,955,179754.14,Cancelled,2023-02-20T22:47:59
254,PO-20254,"Anderson, Benitez and Norris",2023-12-21,Throughout,948,75411.30,Pending,2024-06-21T11:54:20
255,PO-20255,Mendez and Sons,2023-01-27,Claim,309,31885.69,Received,2023-06-28T02:56:10
256,PO-20256,Yang Inc,2023-07-16,Glass,142,59205.10,Pending,2023-12-04T22:46:08
257,PO-20257,Greer PLC,2022-12-08,Tend,422,98920.41,Cancelled,2023-01-04T00:34:56
258,PO-20258,"Flores, Gilmore and Wilson",2022-12-27,Call,4,165455.72,Cancelled,2023-05-29T19:03:45
